"Methods","gaus","shot","impul","defcsm","gls","mtn","zm","snw","frst","fg","brt","cnt","els","px","jpg","Avg"
"Source","723","657","729","469","543","348","420","251","413","260","93","467","266","585","303","432"
"NORM","281","261","363","128","353","142","121","173","174","153","84","126","238","197","273","204"
"TENT","248","235","330","120","318","137","108","159","162","137","79","121","220","173","242","186"
"DUA","274","246","353","131","349","146","116","168","175","131","76","141","227","193","262","199"
"Ours","217","200","291","114","285","122","101","139","150","120","77","105","205","147","207","165"
"Methods","gaus","shot","impul","defcsm","gls","mtn","zm","snw","frst","fg","brt","cnt","els","px","jpg","Avg"
"Source","288","229","262","95","206","106","93","142","153","175","76","209","147","413","147","183"
"NORM","187","164","223","91","221","105","97","130","132","154","78","120","164","151","176","146"
"TENT","157","132","188","79","181","90","80","104","108","124","67","100","140","114","148","121"
"DUA","154","134","173","80","180","91","77","108","108","121","66","109","136","130","143","121"
"Ours","146","126","170","81","170","87","76","97","103","110","67","101","135","106","139","114"
