"","","","Yelp","","Gowalla","","Amazon-Books",""
"","Loss","","","","","","","AverageRI%"
"","","Recall@20","NDCG@20","Recall@20","NDCG@20","Recall@20","NDCG@20",""
"","biased","691","567","1817","1461","527","422","-"
"CCL","debiased","698","571","1842","1497","549","440","-"
"","RI%","","","","","","",""
"","","101%","071%","138%","246%","417%","427%","233%"
"","biased","596","495","1427","1239","336","268","-"
"MSE","debiased","605","500","1498","1264","335","261","-"
"","RI%","","","","","","",""
"","","151%","101%","498%","202%","-030%","-261%","110%"
"","biased","654","536","1645","1343","460","356","-"
"InfoNCE","debiased","666","545","1657","1372","465","366","-"
"","RI%","","","","","","",""
"","","183%","168%","073%","216%","109%","281%","172%"
"","MINE","656","537","1693","1428","500","393","-"
"MINE","RI%","","","","","","",""
"","","031%","019%","292%","633%","870%","1039%","480%"
"(ours)","(wrtbaisedinfoNCE)","","","","","","",""
"","MINE+","712","586","1813","1531","518","405","-"
"","RI%","","","","","","",""
"","","887%","933%","1021%","1400%","1261%","1376%","1146%"
"","(wrtbaisedinfoNCE)","","","","","","",""
