"","","Yelp","","","Gowalla","","Amazon-Books"
"Model","","","","","","",""
"","Recall@20","","NDCG@20","Recall@20","NDCG@20","Recall@20","NDCG@20"
"","","","DeepLearningBased","","","",""
"YouTubeNet*[11]","686","","","1754","1473","502","388"
"","","","567","","","",""
"NeuMF*[17]","451","","363","1399","1212","258","2"
"CML*[19]","622","","536","167","1292","","428"
"","","","","","","522",""
"MultiVAE*[35]","584","","45","1641","1335","407","315"
"LightGCN*[16]","649","","53","","","411","315"
"","","","","183","1554","",""
"NGCF*[56]","579","","477","157","1327","344","263"
"GAT*[54]","543","","432","1401","1236","326","235"
"PinSage*[60]","471","","393","138","1196","282","219"
"SGL-ED*[58]","675","","555","-","-","478","379"
"","","","MFbased","","","",""
"iALS**[46]","606","","502","1388","1224","279","225"
"MF-BPR**[43]","563","","460","1590","1362","343","265"
"MF-CCL**[37]","","","","","1461","",""
"","691","","567","1817","","527","422"
"MF-CCL-debiased(ours)","","","","","","",""
"","698","","571","1842","1497","549","440"
"MF-MINE+(ours)","","","","1813","","518",""
"","712","","586","","1531","","406"
