"","","Yelp","","","Gowalla","","","Amazon-Books"
"Model","","","","","","","",""
"","Recall@20","","NDCG@20","Recall@20","","NDCG@20","Recall@20","NDCG@20"
"","","DeepLearningBased","","","","","",""
"YouTubeNet*(Covington,Adams,andSargin2016)","686","","567","1754","","1473","502","388"
"NeuMF*(Heetal2017)","451","","363","1399","","1212","258","2"
"CML*(Hsiehetal2017)","622","","536","167","","1292","522","428"
"MultiVAE*(Liangetal2018)","584","","45","1641","","1335","407","315"
"LightGCN*(Heetal2020)","649","","53","183","","1554","411","315"
"NGCF*(Wangetal2019)","579","","477","157","","1327","344","263"
"GAT*(Veliˇckovi´cetal2018)","543","","432","1401","","1236","326","235"
"PinSage*(Yingetal2018)","471","","393","138","","1196","282","219"
"SGL-ED*(Wuetal2021)","675","","555","-","","-","478","379"
"","","MFbased","","","","","",""
"iALS**(Rendleetal2022)","606","","502","1388","","1224","279","225"
"MF-BPR**(Rendleetal2009)","563","","460","1590","","1362","343","265"
"MF-CCL**(Maoetal2021)","691","","567","1817","","1461","527","422"
"MF-CCL-debiased(ours)","698","","571","1842","","1497","549","440"
"MF-MINE+(ours)","720","","592","1853","","1570","531","414"
