"Module","Class","Action","Description"
"Planner","-","Plan","Selectthenext-stepaction"
"","-","Infer","Infernewrationalesusingdeductionmethods"
"Reasoner","","",""
"","-","Associate","Seekassociationstouncovervaluableexternalknowledge"
"(Agent-M)","","",""
"","-","Observe","Analyzeanddiscussexistingconditions"
"","","Infer","Performageneraltext-basedreasoning"
"","","Calculate","Focusoncalculationorformuladerivation"
"","Logical","Disprove","Involvenegationorcounterproof"
"","","Classify","Performclassificationdiscussionwithfinitecases"
"Reasoner","","Induce","Performmathematicalinduction"
"(Agent-H)","","",""
"","","Associate","Seekapplicabletheoremsandformulasfortheinference"
"","Mathematical","",""
"","","Construct","Designauxiliaryconditionsorvariables"
"","","Analyze","Guidetheexplorationviadiscussionoranalysis"
"","Auxiliary","Rethink","Thinkagainoutsidethebox"
"","","Integrate","Integrateallsub-tasks"
"","-","Check","Verifywhethertheinferenceisreasonable"
"Reflector","-","Summarize","Summarizeconditions/memories"
"","-","StopCheck","Determinewhetherreasoningneedstobestopped"
