"","","","","MATHDataset","","","",""
"Method","","","","","","","","Overall"
"","Alg","Prob","Geo","InterAlg","NumTh","PreAlg","Precal",""
"#previousreportedSOTAs","","","","","","","",""
"WizardMath(Luoetal,2023)","333","173","157","71","163","417","126","227"
"MAmmoTH(Yueetal,2023)","-","-","-","-","-","-","-","468"
"CR*(k=4)(Zhangetal,2023)","793","579","390","289","548","718","304","5420"
"GPT4+CCOT(k=8)(Zhengetal,2023)","708","531","365","234","496","716","267","5036"
"+PHP(k=8)(Zhengetal,2023)","743","563","419","263","557","738","298","5390"
"#implementedbasedonGPT4(“gpt-4-0613”)","","","","","","","",""
"GPT4(OpenAI,2023)","663","535","415","237","430","745","297","4976"
"MathAgent-M(ours)","643","546","441","272","454","744","315","5088"
"","(-20)","(+19)","(+26)","(+35)","(+24)","(-01)","(+18)","(+112)"
"MathAgent-H(ours)","760","620","476","310","591","835","368","5902"
"","(+97)","(+85)","(+61)","(+73)","(+161)","(+90)","(+71)","(+926)"
