"Dataset","Usage","","PiecesHours"
"Pop1K7(Hsiaoetal2021)","Pre-training","1,747","1088"
"ADLPiano(Ferreira,Lelis,","Pre-training","11086","1775"
"andWhitehead2020b)","","",""
"GIantMIDI-Piano(Kong","Pre-training","10855","1237"
"etal2020)","","",""
"Maestro(Hawthorneetal","Pre-training","529","84"
"2019)","","",""
"","MelodyExtraction","",""
"POP909(Wang*etal2020)","","865","597"
"","VelocityPrediction","",""
"Nottingham","DanceClassifica-","1034","1942"
"","tion","",""
"Pianist8(joann85122021)","ComposerClassifi-","411","319"
"","cation","",""
"EMOPIA(Hungetal2021)","EmotionClassifica-","1,078","120"
"","tion","",""
"GTZAN(Sturm2013)","GenreClassifica-","1000","83"
"","tion","",""
