"Models","GSM8K","MATH"
"GPT-4","920","425"
"GPT-4-0613∗","944","562"
"LLaMA2-70B:RFT(Yuanetal,2023)","648","-"
"LLaMA2-70B:MAmmoTH(Yueetal,2023)","724","211"
"LLaMA2-70B:WizardMATH(Luoetal,2023)","816","227"
"LLaMA2-70B:MetaMATH(Yuetal,2023b)","823","266"
"LLaMA2-70B:MetaMATH∗","804","298"
"+Self-Consistency","880","394"
"+ORM","918","404"
"+Self-Consistency+ORM","920","420"
"+MATH-SHEPHERD(Ours)","932","445"
"+Self-Consistency+MATH-SHEPHERD(Ours)","924","452"
"LLemma-34B:MetaMATH∗","758","348"
"+Self-Consistency","826","442"
"+ORM","900","437"
"+Self-Consistency+ORM","896","454"
"+MATH-SHEPHERD(Ours)","909","460"
"+Self-Consistency+MATH-SHEPHERD(Ours)","897","473"
"DeepSeek-67B:MetaMATH∗","828","368"
"+Self-Consistency","882","454"
"+ORM","926","453"
"+Self-Consistency+ORM","924","470"
"+MATH-SHEPHERD(Ours)","933","470"
"+Self-Consistency+MATH-SHEPHERD(Ours)","925","481"
