"Modelandembeddings","","Class0:“Doesn’treflect”","","","Class1:“Reflect”","","F1-macro"
"","Precision","Recall","F1","Precision","Recall","F1",""
"SVM","","","","","","",""
"ConversationalRuBERT","0834","0914","0872","0792","0643","0710","0791"
"SBERT","0844","0890","0870","0770","0676","0720","0794"
"Fine-tunedrubert-tiny2","0876","0893","0885","0782","0754","0768","0826"
"LogitBoost","","","","","","",""
"ConversationalRuBERT","0821","0895","0856","0750","0618","0674","0767"
"SBERT","0841","0876","0858","0736","0676","0705","0782"
"Fine-tunedrubert-tiny2","0874","0874","0874","0753","0753","0753","0814"
"LogitRegression","","","","","","",""
"ConversationalRuBERT","0855","0921","0887","0818","0695","0751","0819"
"SBERT","0864","0863","0864","0733","0735","0734","0799"
"Fine-tunedrubert-tiny2","0880","0876","0873","0746","0768","0757","0815"
