"","","","Gender","","Age","","","Education","","","Disease","",""
"Type","Number","","","","","","","","","","Time","","Total"
"","","Male","Female","50~60","60~70","70~80","Primary","Secondary","High","MainCause","","",""
"","","","","","","","","","","","","（years）",""
"Mild","16","10","6","1","5","10","10","6","0","Cerebral",">10","37%",""
"Moderate","10","7","3","2","4","4","6","4","0","hemorrhage",">5","26%",""
"","","","","","","","","","","&","","","39"
"Severe","13","9","4","2","11","0","8","4","1","Cerebral",">1","35%",""
"","","","","","","","","","","infarction","","",""
"Control","29","11","18","7","13","9","15","10","5","","None","","68"
