"KnowledgeAspect","Categories","Definition"
"Dimension/Measure","Metadata-based","Distinguisheachelementinatableaseitherdimensionfieldormeasurefield"
"SemanticFieldType","Metadata-based","Classifythemeaningandformatofthedatawithineachfieldbasedonknowl-"
"","","edgegraphs"
"TableSize","Metadata-based","Basicinformationofatableincludingnumbersofrowsandcolumns"
"StatisticsFeature","Metadata-based","Statisticsfeaturessuchaschangerate,numericaldistribution,rangeofdata"
"HeaderHierarchy","Metadata-based","Theorganizationandstructureofheaderelementswithinatable"
"DocsReferences","Retrieval-based","Externaldomainknowledgefromreliablewebpages(eg,wikipedia,Wolfram"
"","","Alpha,etc)whicharesimilartothegivencontext"
"TermExplanation","Retrieval-based","Externaldomainknowledgesuchastermandmetricdefinitions(formulas,"
"","","relevantdocuments/sources,searchresults,etc)"
"SelfPrompting","Self-consistency-based","LeverageLLMstogeneratesomereasoningthoughtsassupplementaryfor"
"","","tableaugmentation(self-augmentedprompting,chain-of-thoughts,etc)"
