"","SQA","","FEVEROUS","","TabFact","","HybridQA","","ToTTo","","Spider",""
"TableAugmentationMethods","","","","","","","","","","","",""
"","Acc","Delta","Acc","Delta","Acc","Delta","Acc","Delta","BLEU-4","Delta","Acc","Delta"
"baseline","2832%","000%","6332%","000%","5980%","000%","2432%","000%","4914%","000%","8027%","000%"
"Dimension/Measure+SemanticFieldType","3012%","180%","6572%","240%","6267%","287%","2612%","180%","5125%","211%","8245%","218%"
"TableSize","2885%","053%","6340%","008%","6030%","050%","2494%","062%","4903%","-011%","7986%","-041%"
"StatisticsFeature","3122%","290%","6651%","319%","6233%","253%","2613%","181%","5057%","143%","8094%","067%"
"HeaderHierarchy","-","-","-","-","-","-","-","-","4864%","-050%","-","-"
"DocsReferences","3345%","513%","6313%","-019%","6132%","152%","2512%","080%","5274%","360%","7765%","-262%"
"TermExplanations","3159%","327%","6412%","080%","6232%","252%","2624%","192%","5321%","407%","8048%","021%"
"SelfPrompting","3045%","213%","6524%","192%","6232%","252%","2664%","232%","5236%","322%","-","-"
