"Notation","Description","Notation","Description",""
"","Agraphstructure,whereVisthesetofnodes,Eis","","",""
"G={V,E}","","Ij/Sj","","InputdataandskipdatainthejthSANLayer"
"","thesetofedges","","",""
"","Anadjacentmatrix/normalizedadjacentmatrix/the","","",""
"A/AN/Ab","bthadjacentmatrixofthebatchadjacentmatricesin","Q/K/V","","Query/Key/Valueofanattentionmodule"
"","SANlayer","","",""
"","Anodeindexset/samplingtime-slotssetofinput","","",""
"N/S/T","","M/D/I","","Maskmatrix/degreematrix/identitymatrix"
"","data/samplingtime-slotssetofpredictingdata","","",""
"","Nodesize/sequencelengthofinputdata/sequence","","",""
"N/S/T","","h","Headsizeofmulti-attentionmodule",""
"","lengthoftargetdata","","",""
"","Inputdata/targetdata/historicalauxiliaryfactors/","","",""
"X/Y/D/F","","q/p","Dimensionof","inputdata/auxiliaryfactors"
"","futureauxiliaryfactors","","",""
