"","","","MAE","","","","RMSE","","","","MAPE(%)","",""
"Data","Model","","","","","","","","","","","",""
"","","15min","30min","60min","all","15min","30min","60min","all","15min","30min","60min","all"
"","GraphWaveNet(2019)","270","310","356","306","518","624","737","611","693","843","1007","827"
"","DMSTGCN(2021)","284","324","368","318","552","651","748","634","750","906","1072","886"
"METR-LA","TGANet(2022)","274","310","349","305","530","631","731","616","709","844","999","831"
"","ST-MetaNet(2022)","269","310","358","306","515","627","752","614","694","864","1082","856"
"","AIMSAN(ours)","273","308","347","304","523","620","719","606","699","841","1002","828"
"","GraphWavenet(2019)","1877","2021","2267","2026","2988","3189","3518","3192","1306","1430","1594","1416"
"","DMSTGCN(2021)","1788","1871","2049","1877","2876","3007","3253","3009","1228","1293","1436","1296"
"PEMS04","TGANet(2022)","1876","1942","2052","1934","2983","3109","3276","3091","1284","1359","1418","1334"
"","ST-MetaNet(2022)","1906","2036","2246","2031","3013","3205","3498","3195","1310","1398","1548","1398"
"","AIMSAN(ours)","1866","1932","2030","1924","2981","3110","3254","3088","1282","1320","1387","1316"
"","GraphWavenet(2019)","1981","2199","2568","2205","3182","3515","4025","3506","845","940","1111","946"
"","DMSTGCN(2021)","-","-","-","-","-","-","-","-","-","-","-","-"
"PEMS07","TGANet(2022)","2029","2152","2351","2141","3232","3477","3834","3458","875","921","1005","919"
"","ST-MetaNet(2022)","-","-","-","-","-","-","-","-","-","-","-","-"
"","AIMSAN(ours)","1979","2099","2282","2090","3198","3454","3799","3433","836","886","974","885"
