"Name","Symbol","Value"
"WorldModel","",""
"Datasetsize(FIFO)","—","3·105"
"iGibsoninputimagesize","o","120×160"
"Batchsize","B","50"
"Sequencelength","L","50"
"Discretelatentdimensions","—","32"
"Discretelatentclasses","—","32"
"RSSMnumberofunits","—","1024"
"KLlossscale","β","10"
"Worldmodellearningrate","—","3·10−4"
"Keyencoderexponentialmovingaverage","—","0999"
"Behavior","",""
"Imaginationhorizon","H","15"
"Actorlearningrate","—","1·10−4"
"Criticlearningrate","—","1·10−4"
"Slowcriticupdateinterval","—","100"
"Common","",""
"Policystepspergradientstep","—","4"
"PolicyandrewardMPLnumberoflayers","—","4"
"PolicyandrewardMPLnumberofunits","—","400"
"Gradientclipping","—","100"
"Adamepsilon","ϵ","10−5"
"EncoderandDecoder","",""
"MLPencodersizesoftaskobs","—","32,32"
"Encoderkernelssizes","—","4,4,4,4,4"
"Decoderkernelssizes","—","5,5,4,5,4"
"Encoderanddecoderfeaturemaps","—","32,64,128,256,512"
"Encoderanddecoderstrides","—","2,2,2,2,2"
"Decoderpadding","—","none,0-1,none,none,none"
"DataAugmentation","",""
"Paddingrange","—","10"
"Huedelta","—","01"
"Brightnessdelta","—","04"
"Contrastdelta","—","04"
"Saturationdelta","—","02"
"Gaussinablursigmamin,max","—","01,20"
"Cutoutmin,max","—","30,50"
