"100kStepsTotalRewards","ReCoRe","CURL","Dreamer","RAD","SAC+AE","PixelSAC","StateSAC"
"Finger,spin","486±191","767±56","341±70","856±73","740±64","179±66","811±46"
"Cartpole,swingup","472±67","582±146","326±27","828±27","311±11","419±40","835±22"
"Reacher,easy","327±98","538±233","314±155","826±219","274±14","145±30","746±25"
"Cheetah,run","321±78","299±48","235±137","447±88","267±24","197±15","616±18"
"Walker,walk","654±100","403±24","277±12","504±191","394±22","42±12","891±82"
"Ballincup,catch","830±118","769±43","246±174","840±179","391±82","312±63","746±91"
"500KStepsTotalRewards","","","","","","",""
"Finger,spin","471±173","926±45","796±183","947±101","884±128","179±166","923±21"
"Cartpole,swingup","675±64","841±45","762±27","863±9","735±63","419±40","848±15"
"Reacher,easy","891±72","929±44","793±164","955±71","627±58","145±30","923±24"
"Cheetah,run","633±70","518±28","570±253","728±71","550±34","197±15","795±30"
"Walker,walk","965±4","902±43","897±49","918±16","847±48","42±12","948±54"
"Ballincup,catch","950±20","959±27","879±87","974±12","794±58","312±63","974±33"
