"Loss","","OurBackbone","","GAP+GRU","","Resnet+TCN","","SlowFast","","VIVIT"
"","Acc","AvgAcc","Acc","AvgAcc","Acc","AvgAcc","Acc","AvgAcc","Acc","AvgAcc"
"ClassSampler+CE","7591","5341","6581","4417","6568","3978","7289","5328","7043","5155"
"ClassSampler+MSE","7673","5381","6158","5068","6576","4260","7452","52","7010","548"
"MSE+RankLoss","7607","5392","5745","5137","6977","4314","7371","5228","7125","5693"
"MSE+TripletLoss","7615","5332","5745","4783","6952","4356","7366","5378","7125","5588"
"CE+CenterLoss","7607","5589","6606","5086","6855","4220","7444","5348","7477","5508"
"CBFocalLoss","7682","5447","6465","5090","6519","3707","7614","5651","7141","5446"
"MocoRank","7748","6094","6680","5130","7149","4602","7641","5706","7379","5906"
"MocoRank+CenterLoss","7814","5574","6760","5164","728","4723","7698","5883","7436","5692"
