"","","","DNDM-multi","","DNDM-absorb","","DNDM-k-multi","","DNDM-k-absorb"
"Datasets","Schedules","","","","","","","",""
"","","BLEU","AvgNFE","BLEU","AvgNFE","BLEU","AvgNFE","BLEU","AvgNFE"
"","Cosine","3172","3171","3271","3121","3291","3171","3450","3121"
"","Cosine2","3178","3174","3293","3121","3278","3174","3453","3121"
"IWSLT14","","","","","","","","",""
"","Linearα","3177","3182","3265","3133","3283","3182","3453","3133"
"","Beta(reported)","3182","3033","3293","3108","3315","3033","3456","3108"
"","Cosine","2580","3961","2654","3918","2663","3961","2781","3918"
"","Cosine2","2552","3948","2653","3918","2501","3948","2795","3918"
"WMT14","","","","","","","","",""
"","Linearα","2558","3997","2633","3982","2547","3997","2763","3982"
"","Beta(reported)","2571","3894","2643","3876","2688","3894","2782","3876"
"","Cosine","3271","4050","3356","4045","3346","4050","3437","4045"
"","Cosine2","3273","4050","3351","4045","3344","4050","3424","4045"
"WMT16","","","","","","","","",""
"","Linearα","3285","4036","3346","4036","3347","4036","3388","4036"
"","Beta(reported)","3286","3846","3360","3827","3379","3845","3438","3827"
