"","","","RDM-Multi","","DNDM-Multi","","RDM-k-Multi","","DNDM-k-Multi"
"Dataset","Steps","","","","","","","",""
"","","BLEU","AvgNFE","BLEU","AvgNFE","BLEU","AvgNFE","BLEU","AvgNFE"
"","25","3126","25","3095","903","3282","25","3230","903"
"","50","3150","50","3145","1407","3282","50","3280","1407"
"IWSLT14","","","","","","","","",""
"","1000","3169","1000","3182","3033","3264","1000","3315","3033"
"","∞","-","-","3189","3273","-","-","3344","3273"
"","25","2525","25","2501","1352","2603","25","2598","1352"
"","50","2575","50","2533","2058","2614","50","2637","2058"
"WMT14","","","","","","","","",""
"","1000","2566","1000","2571","3894","2582","1000","2688","3894"
"","∞","-","-","2479","4067","-","-","2639","4067"
"","25","3229","25","3197","85","3312","25","3294","85"
"","50","3253","50","3250","1473","3341","50","3326","1473"
"WMT16","","","","","","","","",""
"","1000","3263","1000","3286","3845","3367","1000","3379","3845"
"","∞","-","-","3291","4164","-","-","3386","4164"
