"Pattern","r","tripletemplate"
"","(cid:98)",""
"","","(PersonA,IsMarriedTo,PersonB)"
"R-Symmetry","EquivalentTo",""
"","","(PersonB,IsMarriedTo,PersonA)"
"","","(LocationA,UsesLanguage,LanguageB)"
"R-Inverse","EquivalentTo",""
"","","(LanguageB,IsSpokenIn,LocationA)"
"","","(CountryA,CapitalIsLocatedIn,CityB)"
"R-Implication","ImpliesLocation",""
"","","(CountryA,Contains,CityB)"
"","","(OrganizationA,Headquarter,LocationB)"
"R-Inv-Implication","ImpliesLocation",""
"","","(LocationB,Contains,OrganizationA)"
"","","(LocationA,TimeZone,TimeZoneB)"
"E-Implication","ImpliesTimeZone",""
"","","(LocationinA,TimeZone,TimeZoneB)"
"","","(PersonA,HoldsPosition,GovernmentPositionB)"
"E-R-Implication","ImpliesProfession",""
"","","(PersonA,IsA,Politician)"
"","","(WorkA,CinematographyBy,PersonB)"
"E-R-Inv-ImplicationImpliesProfession","",""
"","","(PersonB,IsA,Cinematographer)"
"","","(LocationA,Contains,LocationB)"
"DualE-Implication","ImpliesLocation",""
"","","(LocationcontainingA,Contains,LocationinB)"
