"","","FBHE","","","DBHE",""
"","","MR(↓)MRR(↑)Hit@10(↑)MR(↓)MRR(↑)Hit@10(↑)","","","",""
"QuatE*","1390","0354","0581","4096","0264","0440"
"BiQUE*","1349","0356","0583","3766","0274","0446"
"Neural-LP*","19425","0315","0486","29048","0233","0357"
"DRUM*","19456","0317","0490","29047","0237","0359"
"AnyBURL*","3420","0310","0526","8791","0220","0364"
"BiVE-Q","13613","0369","0603","82718","0271","0428"
"BiVE-B","13654","0370","0607","79559","0274","0422"
"NestE-Q(Ours)","13172","0365","0605","74975","0284","0446"
"Fact-H(Ours)","15300","0349","0593","86882","0266","0423"
"NestE-S(Ours)","14964","0350","0592","89585","0272","0432"
"NestE-QB(Ours)","13013","0371","0608","75118","0289","0443"
"Fact-HB(Ours)","15574","0353","0594","80176","0271","0423"
"NestE-SB(Ours)","14973","0355","0594","82789","0273","0431"
