"r","","FreqNestE-QNestE-QBNestE-HNestE-HBNestE-SNestE-SB","","","","",""
"(cid:98)","","","","","","",""
"EquivTo","98","0994","0997","0992","0997","0997","0995"
"ImpliesLang","29","0671","0602","0680","0662","0614","0622"
"ImpliesProf","210","0807","0916","0830","0935","0832","0936"
"ImpliesLocat","163","0929","0869","0893","0810","0929","0958"
"ImpliesTime","44","0305","0297","0307","0329","0290","0293"
"ImpliesGenre","84","0726","0762","0719","0741","0742","0796"
"NextAlmaM","14","0770","0812","0689","0688","0751","0795"
"TransfTo","29","0977","0952","0964","0949","0921","0953"
