"","","","ExploreDiamondOre","Underground","","ApproachTree","onPlains","ApproachCow","onPlains"
"Method","Reward","","","","","","","",""
"","","avgdist↑","death(%)↓","lavaescape(%)↑","succ(%)↑","avgstep↓","succ(%)↑","avgstep↓","succ(%)↑"
"NaiveHandcraft","-","857","743","15","186","1993","21","1956","108"
"ImitationLearning","-","1022","556","468","389","1988","25","1772","224"
"RL","Sparse","168","15†","0","05","1936","43","1854","126"
"RL","Dense(Curiosity)","1026","551","460","393","1672","458","1477","137"
"RL","Dense(Self-Imitation)","1040","548","472","397","1532","425","1280","235"
"RL","Dense(MineCLIP)","1059","540","478","405","1022","656","1206","449"
"Ours","Dense(LLM)","1428","452","700","452","972","734","1134","563"
