"Spot","δ18O","±1SE","176Hf/177Hf","±2SE","178Hf/177Hf","±2SE","176Lu/177Hf","±2SE","176Yb/177Hf","±2SE","176Hf/177Hf(t)","±2SE","εHf(t)","±2SE"
"DFHR-10,Mucajaíbiotitegranite,T=1519Ma","","","","","","","","","","","","","",""
"01","605","024","0281785","0000028","146715","000005","0000786","0000016","00358","00013","0281762","0000028","−20","10"
"02","633","023","0281765","0000022","146729","000006","0000858","0000036","00385","00015","0281740","0000022","−28","07"
"02b","","","0281743","0000020","146721","000006","0000458","0000012","00200","00003","0281730","0000020","−31","07"
"03","672","026","","","","","","","","","","","",""
"04","611","022","0281802","0000028","146720","000006","0000899","0000044","00404","00024","0281776","0000028","−15","09"
"04b","","","0281746","0000020","146727","000007","0000705","0000074","00309","00016","0281726","0000020","−33","06"
"05","642","022","","","","","","","","","","","",""
"06","595","026","0281843","0000036","146724","000007","0001105","0000006","00525","00019","0281811","0000036","−02","13"
"07","633","025","","","","","","","","","","","",""
"08a","623","027","0281781","0000024","146722","000007","0000653","0000090","00291","00054","0281762","0000024","−20","08"
"08b","580","024","","","","","","","","","","","",""
"08c","","","0281753","0000026","146728","000007","0000763","0000106","00351","00060","0281731","0000026","−31","08"
"09","595","024","0281880","0000026","146727","000009","0002810","0000026","01013","00040","0281799","0000026","−07","09"
"10a","597","029","","","","","","","","","","","",""
"10b","543","036","","","","","","","","","","","",""
"11","562","028","0281780","0000030","146730","000008","0001328","0000086","00428","00019","0281742","0000030","−27","10"
"12","589","028","","","","","","","","","","","",""
"13","621","035","","","","","","","","","","","",""
"14","603","033","","","","","","","","","","","",""
"15","606","032","","","","","","","","","","","",""
"16","612","035","0281837","0000036","146734","000014","0001316","0000070","00577","00016","0281799","0000036","−07","12"
"17a","602","032","","","","","","","","","","","",""
"17b","649","033","","","","","","","","","","","",""
