"Sample","Rock type","Locality","Coordinatesa","","Geochemistry","U–Pb
Sm–Nd","Oxygen","Lu–Hf"
"","","","N","W","WR","Zircon
WR","Zircon","Zircon"
"","","","","","ICP-AES/MS","TIMS
TIMS","SIMS","LAM-ICP-MS"
"DFHR-01b","Anorthosite","Repartimento","2° 14.516","61° 31.564","","x
x","x","x"
"DFHR-03","Monzonite","Mucajaí","2° 14.875","61° 31.423","x","","",""
"DFHR-04b","Monzonite","Mucajaí","2° 12.808","61° 25.654","","x
x","x","x"
"DFHR-07","Biotite–hornblende granite","Mucajaí","2° 12.372","61° 20.886","x","","",""
"DFHR-08b","Biotite–hornblende granite","Mucajaí","2° 12.372","61° 20.886","x","x
x","x","x"
"DFHR-09","Biotite–hornblende granite","Mucajaí","2° 19.371","61° 13.633","x","","",""
"DFHR-10b","Biotite granite","Mucajaí","2° 35.382","61° 10.554","","x
x","x","x"
"DFHR-12b","Gabbronorite","Caracaraí","1° 55.745","61° 10.882","x","x","",""
"DFHR-14b","Gabbronorite","Country rock","2° 16.955","61° 02.903","","x","",""
"DFHR-15","Monzodiorite","Repartimento","2° 08.143","61° 28.947","x","","",""
"DFHR-16","Monzodiorite","Repartimento","2° 07.360","61° 29.415","x","","",""
"DFHR-18","Syenogranite","Repartimento","2° 08.718","61° 28.586","x","","",""
"DFHR-22","Anorthosite, coarse","Repartimento","2° 09.802","61° 29.046","x","","",""
"DFHR-30A","Anorthosite","Repartimento","2° 12.635","61° 30.725","x","","",""
"DFHR-30B","Anorthosite","Repartimento","2° 12.635","61° 30.725","x","","",""
"DFHR-32","Leuconorite, coarse","Repartimento","2° 13.670","61° 30.590","x","","",""
"LF-09A","Biotite–hornblende granite","Mucajaí","2° 33.526","61° 25.450","x","","",""
"LF-50","Monzonite","Mucajaí","2° 08.584","61° 19.297","x","","",""
"LF-88","Biotite-hornblende granite","Mucajaí","2° 26.813","61° 18.772","x","","",""
