"Sample","Rocktype","Sm","Nd","147Sm/144Nd","143Nd/144Nd(0)","143Nd/144Nd(t)","εNd(t)","","T(DM)"
"","","(ppm)","(ppm)","","","","","t(Ma)","(Ma)"
"Mucajaícomplex","","","","","","","","",""
"DFHR-01","Anorthosite","239","1206","01197","0511771±5","0510571","−19","1525","2059"
"DFHR-04","Quartz–fayalitemonzonite","1283","5975","01298","0511853±10","0510552","−23","1525","2159"
"DFHR-08","Biotite–hornblendegranite","1278","7851","00984","0511550±5","0510563","−20","1525","1969"
"DFHR-10","Biotitegranite","2293","13476","01029","0511558±5","0510527","−28","1525","2038"
"Caracaraí","","","","","","","","",""
"DFHR-12","Gabbronorite","049","166","01802","0512514±5","0510708","08","1525","2429"
"Countryrock","","","","","","","","",""
"DFHR-14","Gabbronorite","365","1451","01523","0512174±5","0510229","20","1940","2157"
