"Sample","Sample","Sm","Nd","147Sm/144Nd","143Nd/144Ndb"
"","weighta","(ppm)","(ppm)","",""
"","(rag)","","","",""
"PI-1","525","1751","7127","01481","0511449"
"","","2","9","2","38"
"Pl-2","482","1360","5268","01560","0511631"
"","","1","11","3","22"
"TR-I","1385","2878","9177","01896","0512570"
"","","4","62","15","59"
"TR-2","757","2762","9161","01822","0512356"
"","","2","7","2","27"
"Px-I","485","4480","1153","02349","0513834"
"","","3","1","3","28"
"Px-2","1734","3516","1062","02000","0512843"
"","","1","9","2","25"
