"","Alkali","","Trachy","","Scoria","Trachy","Pyroxene","Hornblende","Dacite","Dacite","Breccia"
"","basalt","(7)","basalt","(5)","(4)","andesite(7)","andesite(12)","andesite(14)","Porphyry(5)","(10)","Clast(5)"
"SiO2","4884","","5041","","5382","6063","6067","6059","6485","6479","6624"
"TiO2","144","","141","","127","100","074","079","054","054","052"
"Al2O3","1607","","1590","","1731","1715","1592","1623","1644","1601","1608"
"*","","","","","","","","","","",""
"Fe2O3","936","","885","","778","558","579","576","417","447","355"
"MnO","014","","014","","009","006","008","009","004","006","005"
"MgO","724","","647","","316","151","290","279","101","170","106"
"CaO","919","","897","","777","503","620","614","466","496","450"
"Na2O","331","","356","","379","478","371","382","406","380","382"
"K2O","138","","188","","192","187","155","169","144","154","143"
"P2O5","052","","060","","053","048","034","040","026","027","021"
"LOI","227","","160","","233","174","193","153","234","174","240"
"Total","9983","","9987","","9978","9984","9984","9983","9988","9988","9988"
"Traceelements","","","","","","","","","","",""
"Rb","2854","","4302","","4115","4083","3906","4180","3914","3670","4000"
"Cs","266","","278","","135","124","146","161","080","180","180"
"Ba","48184","","57996","","76423","59789","62043","75504","70324","62714","58426"
"Th","459","","628","","805","619","725","846","854","835","780"
"U","110","","142","","188","176","208","239","238","256","196"
"Nb","1896","","2178","","1973","1847","1221","1357","1094","1001","1104"
"Ta","116","","132","","118","120","073","084","072","069","068"
"Sr","76054","","87364","","92768","59041","66778","69759","61598","56409","51486"
"Zr","14347","","15290","","15928","16069","12118","13625","12106","11931","13312"
"Hf","353","","388","","368","414","333","363","310","345","364"
"Y","2481","","2424","","3763","2013","1652","1865","1532","1503","1522"
"Sc","2471","","2320","","2000","957","1192","1200","840","850","720"
"V","18257","","18000","","17950","10371","11083","11186","7580","8040","6400"
"Cr","22970","","26548","","10434","977","8838","3763","1232","2805","1642"
"Ni","10406","","11048","","2863","686","3682","1649","1188","1121","800"
"Co","3760","","3430","","2040","1199","1761","1537","828","1043","760"
"Ga","1676","","1698","","1885","1773","1700","1804","1728","1733","1728"
"","Rareearthelements","","","","","","","","","",""
"La","2934","","3682","","5963","3223","3195","3510","3552","3001","2914"
"Ce","5641","","6800","","9603","5864","5933","6319","5534","5365","5176"
"Pr","665","","790","","1305","653","642","691","596","568","563"
"Nd","2726","","3134","","4970","2470","2422","2634","2278","2079","2090"
"Sm","510","","562","","938","451","441","451","336","357","362"
"Eu","160","","168","","247","127","121","122","102","098","099"
"Gd","503","","524","","790","379","345","388","334","288","307"
"Tb","073","","072","","108","058","051","056","045","044","046"
"Dy","439","","422","","645","334","291","323","253","251","274"
"Ho","089","","090","","123","072","051","060","049","046","049"
"Er","241","","237","","327","188","151","174","135","140","143"
"Tm","037","","036","","049","029","023","027","022","020","022"
"Yb","232","","219","","315","178","155","170","142","144","152"
"Lu","033","","031","","043","029","022","026","021","021","022"
"Ba/La","16","","15","","12","18","19","21","19","20","20"
"Ba/Nb","25","","26","","38","32","50","55","64","62","52"
