"","","Hornblendeandesite","","","","","","Dacite","","","","","","Daciteporphyr","","",""
"(wt%)","Hb-1a","Hb-1b","Hb-1c","Hb-2","Hb-5","Hb-6a","Hb-6b","Hb-7a","Hb-7b","Hb-10a","Hb-10b","Hb-13","Hb-14","Hb-16a","Hb-16b","Hb-17","Hb-18"
"SiO2","4187","4133","4118","4112","4280","4160","4104","4661","4822","4806","4814","4690","4635","4377","4260","4109","4103"
"TiO2","402","393","345","422","251","406","418","170","138","113","126","115","120","240","233","376","343"
"Al2O3","1190","1204","1165","1214","1108","1158","1211","798","681","734","684","897","900","1160","1168","1334","1306"
"FeO","1210","1229","1312","1117","1297","1138","1132","1266","1187","1299","1197","1085","1139","1136","1219","1018","1069"
"MnO","015","022","020","012","020","011","017","026","025","038","031","017","018","020","023","013","012"
"MgO","1377","1372","1300","1388","1382","1442","1405","1495","1600","1528","1620","1581","1533","1500","1414","1473","1437"
"CaO","1103","1094","1072","1101","1097","1104","1106","1108","1120","1057","1073","1122","1103","1110","1089","1103","1100"
"Na2O","274","275","264","270","246","271","269","165","139","143","139","168","165","330","309","300","303"
"K2O","056","060","057","059","050","062","062","029","021","027","024","016","019","033","033","059","061"
"Cr2O3","001","005","000","004","000","004","004","000","003","005","000","015","030","002","003","003","001"
"Total","9815","9788","9654","9699","9730","9756","9728","9715","9736","9749","9709","9708","9661","9907","9751","9787","9734"
"","Formulaonthebasisof23oxygens","","","","","","","","","","","","","","","",""
"Si","616","611","619","610","635","614","608","684","700","701","701","681","679","633","629","601","605"
"IV","","","","","","","","","","","","","","","","",""
"Al","184","189","181","190","165","186","192","116","100","099","099","119","121","167","171","199","195"
"AlVI","022","021","025","022","029","016","020","022","017","027","018","035","034","031","032","032","032"
"tot","","","","","","","","","","","","","","","","",""
"Al","206","210","206","212","194","202","212","138","117","126","117","154","155","198","203","231","227"
"Ti","044","044","039","047","028","045","047","019","015","012","014","013","013","026","026","041","038"
"Cr","000","001","000","000","000","000","000","000","000","001","000","002","003","000","000","000","000"
"Fe2+","149","152","165","139","161","140","140","150","135","157","136","125","132","137","151","125","132"
"Fe3+","000","000","000","000","000","000","000","005","010","002","010","007","007","000","000","000","000"
"Mn","002","003","003","001","003","001","002","003","003","005","004","002","002","002","003","002","001"
"Mg","302","302","291","307","306","317","310","327","346","332","351","342","335","323","311","321","316"
"FMT","1319","1323","1323","1316","1327","1319","1319","1326","1326","1336","1333","1326","1326","1319","1323","1321","1319"
"Ca","174","173","173","175","174","175","176","174","174","165","167","175","173","172","172","173","174"
"Na(B)","007","005","005","008","000","005","005","000","000","000","000","000","000","008","004","006","006"
"Na(A)","071","074","072","070","071","073","072","047","039","040","039","047","047","085","084","079","081"
"Natot","078","079","077","078","071","078","077","047","039","040","039","047","047","093","088","085","087"
"K","010","011","011","011","009","012","012","005","004","005","004","003","004","006","006","011","011"
"SumA","081","085","083","081","080","085","084","052","043","045","043","050","051","091","090","090","092"
"Mg#","067","067","064","069","066","069","069","068","070","068","071","072","071","070","067","072","071"
