"","","Hornblendeandesite","","","Pyroxeneandesite","","Dacite","","","Trachyandesite","","","","Alkalibasalt","","",""
"(wt%)","px-10","px-11","px-13c","px-28","px-29","px-30a","px-14","px-15","px-16","px38a","px38b","px39a","px39b","px-1a","px-1b","px-2a","px-2b"
"SiO2","4978","5032","5394","5254","5247","5357","5326","5343","5242","5278","5385","5228","5269","5036","4799","4999","4803"
"TiO2","102","092","023","024","048","014","009","013","01","035","015","047","039","11","171","138","166"
"Al2O3","438","388","13","123","207","057","071","073","039","321","135","244","153","404","633","433","66"
"FeO","859","846","139","82","59","2015","2044","2054","199","1401","1552","701","831","603","637","671","612"
"MnO","022","02","034","03","018","066","088","084","083","029","034","02","024","012","012","014","014"
"MgO","1534","1508","2767","1511","1778","2415","2368","2349","2356","2705","2688","1633","161","1544","1419","1514","1424"
"CaO","1964","2024","14","2179","2021","091","066","089","19","16","112","2069","2037","2195","2214","2189","2204"
"Na2O","049","054","006","033","024","0","0","002","0","003","0","035","027","041","048","039","046"
"K2O","001","002","001","003","001","001","001","002","001","002","001","002","001","001","001","0","002"
"Cr2O3","003","001","0","0","012","0","0","001","0","001","013","002","001","029","047","012","062"
"NiO","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","001"
"Total","995","9966","9886","9976","9947","10015","9972","10009","9912","9936","9936","9982","9991","9976","998","10009","9993"
"","Formulaonthebasisof6oxygens","","","","","","","","","","","","","","","",""
"Si","186","188","196","196","193","197","198","198","196","191","196","193","195","187","179","185","178"
"Ti","003","003","001","001","001","0","0","0","0","001","0","001","001","003","005","004","005"
"Al","019","017","006","005","009","002","003","003","002","014","006","011","007","018","028","019","029"
"Fe2+","017","017","039","02","013","059","061","062","054","038","045","017","022","011","009","013","009"
"Fe3+","010","009","003","006","005","003","002","002","008","004","002","005","004","008","011","008","01"
"Mn","001","001","001","001","001","002","003","003","003","001","001","001","001","0","0","0","0"
"Mg","085","084","15","084","098","133","131","129","132","146","146","09","089","085","079","084","079"
"Ca","079","081","005","087","08","004","003","004","008","006","004","082","081","087","088","087","088"
"Na","004","004","0","002","002","0","0","0","0","0","0","003","002","003","003","003","003"
"K","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Cr","0","0","0","0","0","0","0","0","0","0","0","0","0","001","001","0","002"
"Ni","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Total","403","403","401","402","402","401","401","401","403","401","401","402","401","403","404","403","403"
"Mg#","076","076","078","077","084","068","067","067","068","078","076","081","078","082","08","08","081"
"Wo","4104","4219","275","4407","4067","179","131","177","374","318","22","4219","412","4556","4716","4532","4716"
"En","446","4373","7548","4252","4978","6619","6556","6501","6444","7468","7347","4633","4531","4459","4206","4361","424"
"Fs","1437","1408","2178","1342","955","3201","3313","3322","3183","2215","2433","1148","135","985","1078","1107","1045"
