"Sample","Rock","","Concentration","","Measuredratio","","","μ","κ","Initial","ratio(at380Ma)",""
"no","type","","","","","","","","","","",""
"","","","Th","Pb","206Pb/204Pb","207Pb/204Pb","208Pb/204Pb","238U/204Pb","232Th/204Pb","206Pb/204Pb","207Pb/204Pb","208Pb/204Pb"
"","","U(ppm)","(ppm)","(ppm)","","","","","","","",""
"KV1","IIaC1","004","013","141","18754","15482","38373","1812","6271","18645","15476","38254"
"KV3","IIaC1","003","055","174","18481","15454","38765","1028","20755","18419","15451","38371"
"KV7","IIaP1","024","084","121","19138","15533","38859","12576","46473","18380","15492","37977"
"KV9","IIbC2","012","122","223","18674","15479","38971","3415","36264","18468","15468","38283"
"KV18","IIbC2","001","020","193","18668","15495","38261","0329","6769","18648","15494","38132"
"KV19","IIbC2","033","295","162","19566","15542","41675","13764","126417","18737","15498","39276"
