"Spot","Age (Ma)","176Yb/177Hf","176Lu/177Hf","176Hf/177Hf","2σ","εHf(0)","εHf(t)","TDM1 (Ma)","TDM2 (Ma)","fLu/Hf"
"08LX94 (syenite)","","","","","","","","","",""
"1","124","0.048785","0.001606","0.282113","0.000022","− 23.3","− 20.7","1632","2495","− 0.95"
"2","124","0.054338","0.001694","0.282137","0.000025","− 22.5","− 19.9","1602","2442","− 0.95"
"3","125","0.093874","0.002828","0.282189","0.000026","− 20.6","− 18.1","1576","2330","− 0.91"
"4","123","0.068408","0.002223","0.282125","0.000033","− 22.9","− 20.4","1642","2471","− 0.93"
"5","124","0.069437","0.002135","0.282183","0.000023","− 20.8","− 18.3","1554","2341","− 0.94"
"6","123","0.046853","0.001539","0.282125","0.000022","− 22.9","− 20.3","1613","2469","− 0.95"
"7","123","0.112151","0.003332","0.282239","0.000026","− 18.9","− 16.4","1525","2223","− 0.90"
"8","124","0.040568","0.001361","0.282131","0.000018","− 22.7","− 20.1","1595","2453","− 0.96"
"9","122","0.035932","0.001185","0.282148","0.000019","− 22.1","− 19.5","1565","2417","− 0.96"
"10","122","0.071626","0.002193","0.282137","0.000022","− 22.5","− 20.0","1623","2445","− 0.93"
"11","123","0.034404","0.001152","0.282130","0.000022","− 22.7","− 20.1","1589","2456","− 0.97"
"12","124","0.079274","0.002521","0.282123","0.000026","− 22.9","− 20.4","1658","2476","− 0.92"
"13","123","0.113606","0.003361","0.282196","0.000023","− 20.4","− 17.9","1589","2317","− 0.90"
"14","121","0.085766","0.002490","0.282201","0.000023","− 20.2","− 17.7","1543","2303","− 0.92"
"15","123","0.043668","0.001456","0.282125","0.000019","−22.9","− 20.3","1608","2467","− 0.96"
"16","124","0.046122","0.001549","0.282099","0.000019","− 23.8","− 21.2","1649","2526","− 0.95"
"17","123","0.043616","0.001456","0.282126","0.000020","− 22.8","− 20.3","1607","2465","− 0.96"
"08LX98 (quartz syenite)","","","","","","","","","",""
"1","122","0.021058","0.000698","0.282096","0.000023","− 23.9","− 21.3","1617","2531","− 0.98"
"2","126","0.034622","0.001112","0.282133","0.000020","− 22.6","− 19.9","1583","2448","− 0.97"
"3","125","0.037997","0.001334","0.282119","0.000023","− 23.1","− 20.5","1611","2479","− 0.96"
"4","125","0.037874","0.001241","0.282106","0.000022","− 23.5","− 20.9","1625","2508","− 0.96"
"5","127","0.056103","0.001965","0.282121","0.000030","− 23.0","− 20.4","1636","2477","− 0.94"
"6","125","0.038540","0.001242","0.282146","0.000021","− 22.1","− 19.5","1570","2419","− 0.96"
"7","125","0.019452","0.000651","0.282088","0.000017","− 24.2","− 21.5","1625","2545","− 0.98"
"8","125","0.028752","0.000954","0.282113","0.000024","− 23.3","− 20.6","1604","2491","− 0.97"
"9","125","0.027939","0.000962","0.282122","0.000023","− 23.0","− 20.3","1592","2472","− 0.97"
"10","127","0.044181","0.001450","0.282127","0.000021","− 22.8","− 20.2","1606","2462","− 0.96"
"11","125","0.061978","0.002064","0.282110","0.000024","− 23.4","− 20.9","1656","2503","− 0.94"
"12","127","0.044423","0.001468","0.282118","0.000023","− 23.1","− 20.5","1619","2482","− 0.96"
"13","126","0.034715","0.001179","0.282157","0.000021","− 21.7","− 19.1","1552","2393","− 0.96"
"14","124","0.042318","0.001453","0.282111","0.000022","− 23.4","− 20.8","1628","2498","− 0.96"
"15","127","0.050282","0.001673","0.282143","0.000024","− 22.2","− 19.6","1592","2426","− 0.95"
"16","125","0.026344","0.000902","0.282126","0.000019","− 22.8","− 20.2","1584","2462","− 0.97"
"17","125","0.026549","0.000916","0.282117","0.000020","− 23.2","− 20.5","1597","2483","− 0.97"
"18","126","0.021879","0.000757","0.282124","0.000020","− 22.9","− 20.2","1581","2466","− 0.98"
