"Rock-type","Syenite","","Hornblende syenite","","Quartz syenite","","Syenite porphyry","","Granite",""
"Sample","08LX94","08LX95","08LX96","10LX33","08LX98","08LX99","08LX100","08LX101","GSR1","GSR1"
"Latitude","N35°22′17″","N35°22′09″","N35°22′50″","N35°22′52″","N35°22′59″","N35°23′18″","N35°24′00″","N35°24′0″","Avg.","Rem."
"Longitude","E118°55′41″","E118°55′51″","E118°55′39″","E118°55′38″","E118°49′43″","E118°49′38″","E118°48′49″","E118°48′48″","",""
"SiO2","66.5","67.5","64.5","64.1","69.7","69.4","61.5","62.7","73.1","72.8"
"TiO2","0.44","0.47","0.51","0.54","0.26","0.33","0.52","0.50","0.28","0.28"
"Al2O3","17.0","16.4","16.9","17.4","15.6","14.5","17.3","17.2","13.4","13.4"
"FeOT","1.93","2.02","2.83","3.01","1.69","2.07","3.17","2.97","1.92","1.93"
"MnO","0.08","0.07","0.10","0.10","0.04","0.04","0.10","0.09","0.06","0.06"
"MgO","0.25","0.22","0.83","0.94","0.26","0.39","0.94","0.93","0.41","0.42"
"CaO","0.93","0.67","1.83","2.03","0.69","0.48","2.05","1.78","1.54","1.55"
"Na2O","5.80","5.78","5.11","5.14","4.87","5.04","5.06","4.28","3.11","3.13"
"K2O","6.00","6.00","5.84","5.92","5.69","5.95","6.21","6.52","5.02","5.01"
"P2O5","0.05","0.04","0.20","0.21","0.06","0.08","0.25","0.23","0.09","0.09"
"LOI","0.24","0.30","0.44","0.24","0.54","0.94","1.88","1.80","0.69","0.69"
"Total","99.4","99.7","99.5","100.0","99.6","99.4","99.3","99.4","99.8","99.6"
"Mg#","18.7","16.2","34.4","35.7","21.5","25.1","34.6","35.8","",""
"Cr","88.6","76.8","68.7","102","112","106","67.8","40.4","2.79","5.00"
"Co","1.48","1.24","3.94","5.11","1.98","3.44","3.87","3.41","3.40","3.40"
"Ni","62.1","0.57","1.62","16.9","1.63","2.46","16.05","0.89","3.10","2.30"
"Cs","1.11","1.35","1.98","1.45","1.77","2.61","3.66","3.49","39.3","38.4"
"Rb","116","162","165","125","155","229","148","162","481","466"
"Sr","56.2","37.1","563","523","217","251","483","455","112","106"
"Ba","174","145","1955","1700","702","794","2834","2640","337","343"
"La","126","107","180","181","117","129","116","110","53.6","54.0"
"Ce","286","254","303","303","209","226","209","196","108","108"
"Pr","34.","31.9","30.9","31.0","22.1","24.9","23.2","21.9","13.3","12.7"
"Nd","124","121","98.0","100","71.3","81.7","78.6","74.3","48.9","47.0"
"Sm","23.5","25.6","13.3","13.1","9.89","11.4","12.2","11.6","10.1","9.70"
"Eu","1.56","1.10","2.47","2.52","1.55","1.34","3.13","3.02","0.85","0.85"
"Gd","19.4","21.6","11.1","10.8","8.37","9.49","9.49","9.10","9.36","9.30"
"Tb","2.87","3.17","1.26","1.14","1.01","1.20","1.14","1.11","1.65","1.65"
"Dy","15.9","18.0","6.06","5.16","5.34","6.39","5.57","5.63","10.7","10.2"
"Ho","2.94","3.34","1.17","0.99","1.05","1.31","1.07","1.05","2.25","2.05"
"Er","7.40","8.31","3.25","2.73","2.96","3.76","2.86","2.84","6.97","6.50"
"Tm","0.97","1.08","0.48","0.40","0.46","0.57","0.42","0.41","1.12","1.06"
"Yb","5.54","6.43","3.16","2.68","2.94","3.94","2.75","2.67","7.81","7.40"
"Lu","0.77","0.93","0.48","0.44","0.46","0.62","0.41","0.40","1.25","1.15"
"Y","71.4","79.9","31.2","26.7","29.0","33.9","27.1","26.4","63.6","62.0"
"Zr","619","759","662","601","448","385","417","396","170","167"
"Hf","15.2","18.1","14.9","13.1","12.3","12.3","10.6","10.4","6.50","6.30"
"Nb","34.5","45.7","29.8","23.9","26.7","47.1","20.0","20.3","41.7","40.0"
"Ta","2.62","3.37","1.73","1.23","1.88","3.49","1.18","1.22","7.40","7.20"
"Th","22.6","33.6","31.3","24.9","47.0","74.3","21.4","20.4","55.8","54.0"
"U","1.78","3.63","3.65","3.56","4.74","8.92","2.63","2.50","18.9","18.8"
"Pb","27.8","24.4","26.8","23.5","35.7","18.0","26.5","25.3","32.8","31.0"
"δEu","0.22","0.14","0.6","0.63","0.51","0.38","0.86","0.87","",""
"(La/Yb)N","15.3","11.3","38.5","45.4","26.9","22.1","28.3","27.7","",""
"TZr (°C)","890","914","891","878","873","847","837","846","",""
