"Sampleno","Area","Rocktype","Latitude°S","Longtitude°W","87Sr/86Sr","2σ","143Nd/144Nd","2σ","206Pb/204Pb","207Pb/204Pb","208Pb/204Pb"
"123944","PM","TB","366059","686230","0703675","11","0512832","10","18406","15590","38161"
"123944","PM","TB","","","","","","","18403","15583","38151"
"123946","PM","Basalt","366952","687529","0704126","8","0512737","8","18431","15589","38301"
"126280","PM","Basalt","365348","696302","0703776","15","0512806","8","18309","15566","38197"
"123917","PM","Basalt","363106","696670","0703964","10","0512772","10","18391","15580","38293"
"123926","PM","Basalt","364042","693327","0703938","27","0512800","6","18437","15589","38331"
"126276","PM","BTA","365107","693419","0703783","11","0512802","8","18346","15568","38243"
"126268","PM","BTA","363803","692198","0704077","8","0512779","11","18385","15580","38278"
"126179","RC","TB","373183","690234","0703612","8","0512857","9","18381","15578","38288"
"126180","RC","Basalt","373160","690313","0703548","10","0512810","16","18427","15593","38348"
"126178","RC","TB","373297","689907","0703535","11","0512839","29","18343","15567","38223"
"126177","RC","Tephrite","373041","689761","0703691","10","0512840","8","18381","15582","38285"
"126176","RC","Tephrite","373108","689757","0703550","8","0512845","7","18347","15576","38244"
"126175","RC","TB","373042","690184","0703753","10","0512817","8","18383","15585","38307"
"126173","RC","BTA","373025","690159","0703708","7","0512823","7","18383","15582","38301"
"126230","RC","TB","373288","689585","0703616","10","0512852","8","18364","15578","38260"
"126171","RC","Basalt","373654","690162","0703551","10","0512852","8","18390","15574","38282"
"123972","RC","Basalt","372394","690899","0703623","8","0512851","8","18367","15584","38276"
"126232","RC","TB","373948","686658","0703914","10","0512795","8","18394","15583","38327"
"126229","RC","Basalt","370521","691830","0703785","13","0512791","6","18253","15571","38214"
