"","Mat1","Su2","Su3","V79x","$13","Sh","E(II)","E(1)","EJX","145"
"SiO 2","55.75","44.30","47.79","48.64","62.25","57.38","40.75","39.82","39.29","39.49"
"TiO 2","0.87","1.12","1.05","1.65","1.44","1.29","3.58","3.07","3.13","3.07"
"AI203","16.45","13.33","14.32","13.89","15.10","16.37","13.90","12.14","12.13","12.60"
"Fe203","7.51","7.57","7.44","5.13","3.61","7.38","5.80","5.33","5.28","6.15"
"FeO","n.d.","n.d.","n.d.","2.67","2.32","n.d.","5.71","5.72","6.06","4.75"
"MnO","0.10","0.13","0.12","0.16","0.06","0.11","0.17","0.19","0.19","0.20"
"MgO","5.39","6.26","8.37","6.29","4.07","3.11","8.17","11.88","11.46","10.37"
"CaO","7.68","9.89","7.97","7.16","1.58","5.10","10.76","12.63","12.43","13.34"
"N a 2 0","3.04","1.96","2.17","2.63","2.44","3.57","3.56","2.17","2.48","2.25"
"K 2 0","1.12","2.77","4.11","4.06","4.67","2.89","1.32","0.98","0.84","0.79"
"PzOs","0.24","1.25","1.22","0.80","0.60","0.51","0.88","0.72","0.83","0.95"
"H 20 +","0.67","2.17","2.73","3.04","1.87","0.74","4.03","4.46","4.68","6.72"
"CO 2","0.04","6.90","1.05","4.54","0.05","0.03","0.16","0.27","0.19","0.26"
"Total","98.86","97.65","98.34","100.66","100.06","98.48","98.79","99.38","98.95","100.94"
"Ba","202","958","1828","1572","1171","932","680","630","713","1014"
"Rb","28","118","95","148","289","64","27","25","22","29"
"Sr","401","675","855","511","177","341","875","779","907","927"
"Nb","<  4","21","32","25","24","10","122","97","103","112"
"La","n.d.","n.d.","n.d.","149","99","n.d.","64","51","52","55"
"Ce","< 15","97","147","216","100","65","118","98","107","113"
"Y","8","13","18","37","52","28","21","20","20","21"
"Zr","126","302","327","394","401","320","322","293","316","319"
"Cr","138","327","207","383","444","38","136","423","438","432"
"Ni","24","164","130","212","114","22","119","298","319","265"
