"Sample","age[Ma]","Hf(ppm)","Lu(ppm)","176Lu/177Hf","176Hf//177Hf","a£f"
"V79/x","290","1001","0276","000391","0282768(36)","+412"
"Su/2","290","733","0562","001088","0282861(31)","+601"
"S13","290","1034","202","002773","0282839(35)","+187"
"Sh","290","850","0522","000871","0282805(104)","+447"
"Sh,Z","290","nd","nd","nd","0282700(30)","+24"
"Mat1","290","374","nd","nd","nd",""
"P861","30","583","0263","000638","0282768(83)","-121"
"P861,Z","30","nd","nd","nd","0282737(44)","-218"
"EJX","100","705","0194","000390","0282921(81)","+567"
"","","","","","0282943(100)","+645"
