"","Depth","Rock","206Pb/204P","","207Pb/204P","","","","","","","","","206Pb/204P","207Pb/204P","208Pb/204P"
"","","","","± 2SE","","± 2SE","208Pb/204Pb","± 2SE","Pb","Th","U","U/Pb","Th/Pb","","",""
"","(mbsf)","Type","b","","b","","","","","","","","","b t=49Ma","b t=49Ma","b t=49Ma"
"Site U1438 Andesite Sills","","","","","","","","","","","","","","","",""
"1438E61R2 (4-7)","1406.4","andesite","18.6270","4","15.5607","4","38.3969","12","6.62","0.169","0.472","0.071","0.026","","",""
"1438E61R2 (97-100)","1408.3","andesite","18.6114","4","15.5547","4","38.3752","12","4.32","0.211","0.326","0.076","0.049","","",""
"1438E62R1 (124-126)","1411.6","andesite","18.6333","5","15.5428","5","38.3163","15","2.81","0.153","0.196","0.070","0.055","","",""
"Site U1438 Basalt Basement","","","","","","","","","","","","","","","",""
"1438E69R1 50-51","1461.4","basalt","18.5126","3","15.5015","4","","","2.397","0.067","0.211","0.088","0.028","18.4924","15.5006",""
"1438E73R2 (77-74)","1486.3","basalt","18.5184","3","15.5011","4","38.1695","10","0.679","0.031","0.122","0.180","0.046","18.4317","15.4971","38.1622"
"1438E74R2 21-24","1495.7","basalt","18.3789","7","15.4878","6","38.1866","18","0.614","0.048","0.018","0.029","0.078","18.3648","15.4871","38.1742"
"1438E76R2 16-18","1439.1","basalt","18.2826","14","15.4791","13","38.1124","38","0.039","0.043","0.017","0.436","1.103","18.0731","15.4693","37.9383"
"1438E76R2 84-86","1509.1","basalt","18.2651","5","15.4807","5","38.1079","16","0.384","0.048","0.017","0.044","0.125","18.2439","15.4797","38.0881"
"1438E77R1 88-90","1511.7","basalt","18.2807","8","15.4767","9","38.1000","24","0.125","0.047","0.018","0.144","0.376","18.2116","15.4735","38.0406"
"1438E82R1 57-59","1552.6","basalt","18.4881","5","15.4960","5","38.1260","12","0.225","0.040","0.078","0.347","0.178","18.3210","15.4882","38.0979"
"1438E82R2 102-105","1554.4","basalt","18.4811","5","15.4936","7","38.1306","20","0.091","0.036","0.101","1.110","0.396","17.9460","15.4684","38.0679"
"1438E83R1 111-112","1562.5","basalt","18.4678","8","15.4918","9","38.1303","24","0.470","0.039","0.070","0.149","0.083","18.3960","15.4884","38.1172"
"1438E83R2 36-38","1563.2","basalt","18.5987","20","15.5062","23","38.0973","64","0.214","0.042","0.221","1.033","0.196","18.1003","15.4828","38.0661"
"1438E85R1 43-45","1579.6","basalt","18.4059","23","15.4979","20","38.1287","56","0.085","0.018","0.070","0.824","0.212","18.0093","15.4792","38.0952"
"1438E87R1 116-119","1595.2","basalt","18.2028","4","15.4721","3","38.0460","9","0.304","0.022","0.033","0.109","0.072","18.1508","15.4696","38.0346"
"1438E88R1 97-98","1604.1","basalt","18.3685","10","15.4891","11","38.0275","37","0.072","0.028","0.095","1.319","0.389","17.7344","15.4593","37.9661"
