"","Ti","Li","Be","Sc","V","Cr","Ni","Rb","Sr","Y","Zr","Nb","Cs","Ba","La","Ce","Pr","Sm","Nd","Lu","Hf","Eu","Gd","Tb","Dy","Ho","Er","Yb","Ta","Pb","Th","U"
"Site 447 Basement Basalts","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"447A 14-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"447A-14-2 (2-4)","6105","38.5","0.381","38.4","271","300","81.7","4.04","123","25.1","62.4","1.33","0.206","12.4","2.30","7.38","1.24","2.39","6.74","0.398","1.67","0.888","3.30","0.605","4.23","0.933","2.68","2.63","0.100","0.425","0.119","0.095"
"447A-16-2 (22-24)","5932","41.4","0.456","38.7","257","302","146","10.2","127","25.0","62.8","1.42","0.887","10.8","2.51","7.25","1.23","2.24","6.56","0.369","1.56","0.828","3.03","0.562","3.96","0.862","2.50","2.46","0.103","0.301","0.105","0.087"
"447A -17-2 (1-4)","7629","8.8","0.371","42.7","346","149","72.0","6.45","85.9","34.7","69.1","1.69","0.153","11.6","2.69","8.06","1.45","3.00","8.12","0.533","2.01","1.046","4.27","0.782","5.67","1.23","3.54","3.54","0.126","0.397","0.144","0.327"
"447A-17-2 (53-55)","7981","8.2","0.373","44.3","362","147","74.0","1.37","82.9","35.1","72.3","1.80","0.028","11.0","2.55","8.05","1.42","2.94","7.84","0.537","2.08","1.009","4.11","0.761","5.64","1.23","3.56","3.54","0.130","0.414","0.145","0.044"
"447A-17-3 (105-107)","7667","17.4","0.338","44.0","309","172","130","3.57","85.8","35.2","69.6","1.69","0.069","5.93","2.50","7.71","1.37","2.84","7.64","0.520","1.98","0.983","4.03","0.740","5.46","1.19","3.46","3.47","0.121","0.403","0.134","0.799"
"447A-17-3 (105-107) rep","7631","17.3","0.331","43.7","311","173","130","3.56","85.5","34.7","69.0","1.67","0.068","5.91","2.45","7.62","1.35","2.85","7.54","0.517","1.95","0.976","3.98","0.735","5.44","1.18","3.44","3.45","0.119","0.402","0.133","0.791"
"447A-21-1 (128-130)","6390","10.4","0.273","42.2","304","305","117","2.40","71.2","27.2","54.7","1.13","0.072","7.30","1.68","5.52","1.00","2.25","5.78","0.425","1.59","0.807","3.21","0.604","4.48","0.983","2.83","2.83","0.084","0.312","0.090","0.031"
"447A-22-1 (60-62)","6134","6.47","0.262","41.5","310","308","113","0.723","68.2","27.2","52.0","1.05","0.016","6.59","1.65","5.45","0.994","2.21","5.69","0.420","1.52","0.806","3.22","0.600","4.44","0.968","2.79","2.78","0.084","0.278","0.085","0.025"
"447A 22-3 (18-20)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
