"","Mineral/Rock/Sample","","","","","","Age","143Nd/144Nd","","",""
"","","147Sm/144Nd","143Nd/144Nd","2σ","εNd(t)","2σ","","","εNd(i)","TDM","References"
"","Number","","","","","","(Ma)","(i)","","",""
"SungValleyintrusion","","","","","","","","","","",""
"1","Ap;pyroxenite;SV7","01086","0512083","17","-966","034","105","0512008","-965","118","Thisstudy"
"2","Prv;ijolite;SV10AC","00867","0512421","10","-277","02","105","0512361","-276","068","Thisstudy"
"3","Ap;ijolite;SV10","00849","0512443","10","-231","019","105","0512385","-231","065","Thisstudy"
"","","","","","-","","","","-","",""
"4","Ap;nphsyenite;SV25","00875","0512007","24","","052","105","0511947","","109","Thisstudy"
"","","","","","1088","","","","1085","",""
"5","Prv;dunite;SV31","00634","0512579","12","065","023","109","0512534","070","045","Thisstudy"
"6","Prv;uncomh;SV33","00634","0512579","12","065","023","1017","0512537","058","045","Thisstudy"
"","Ap;nphsyenite;","","","","","","","","","",""
"7","","00858","0512363","18","-388","036","1068","0512303","-385","073","Thisstudy"
"","SV52A","","","","","","","","","",""
"","Bdy;carbonatite;","","","","","","","","","",""
"8","","00833","0512573","23","023","047","105","0512516","025","051","Thisstudy"
"","SV73","","","","","","","","","",""
"9","Ap;carbonatite;SV73","01032","0512618","13","091","027","105","0512547","086","054","Thisstudy"
"10","WR;ijolite;SV14","01263","0512535","15","-107","029","105","0512448","-107","076","1"
"","WR;nphsyenite;","","","","-","","","","-","",""
"11","","01161","0511925","9","","018","105","0511845","","144","1"
"","SV24A","","","","1283","","","","1283","",""
