"Sample","Rb","Sr","87Rb/86Sr","IL","8%/%r","8%","/sssr"
"","","","","","measuredt","initial$",""
"","(ppm)","(ppm)","","","","",""
"LEW-Plag","00672","2993","0000649(7)","419","0699032(10)","0698989","(10)"
"LEW-WR","00704","1150","000177(3)","2/4","0699149(11)","0699031","(11)"
"LEW-01","00071","7875","00026(3)","l/4","0699131(14)","0698957","(20)"
"LEW-PxDk","00053","4633","000034(2)","l/3","0699002(15)","0698979","(15)"
"ADOR#1","00134","1420","000027(1)","l/4","0698992(16)","0698974","(16)"
"ADOR#2","00302","1393","000063(1)","l/3","0698997(16)","0698955","(16)"
"ADOR#3","00184","1260","000042(1)","l/2","0698991(14)","0698963","(14)"
"MC-Plag5","00815","15763","000143(14)5","-","0699082(14)","0698986","(17)"
