"U-Pbisotopic","results","","","",""
"Weight","206Pb","Pb","U","","206Pb/‘04Pb"
"","(nmolg-‘)","","","",""
"(mg)","","(ppm)","(ppm)","",""
"5630","1260(6)","10300(51)","01083(3)","mt","18891(1)"
"","","","","f","18937(10)"
"5209","00806(12)","005186(77)","001214(4)","m","37006(31)"
"","","","","f","37095(37)"
"","","","","fi","37167(61)"
"4404","01636(15)","01291(12)","0006686(10)","m","20067(9)"
"","","","","f","20115(14)"
"417","0226(18)","0128(10)","006150(7)","m","9675(152)"
"","","","","f","9698(152)"
"","","","","fb","1006(30)"
"903","04315(74)","02317(40)","01020(2)","m","2851(54)"
"","","","","f","2858(54)"
"","","","","P","2946(84)"
"3051","03761(16)","019308(80)","00841(2)","m","6726(39)"
"","","","","f","6742(39)"
"","","","","P","6925(132)"
"2189","07917(25)","03760(12)","01828(6)","m","5113(227)"
"","","","","f","5125(228)"
"","","","","P","5922(684)"
"NBS-981Pbdataarereported","inTable","IdBlankisotopic","composition","",""
"themeasured","isotope","ratioswereobtainedbynumericalpropagation,","","","asdescribed"
"forfractionation","andblank","","","",""
