"Sample+","Phase1","204Pb/  *OsPb","207Pb’/206Pb","","Source"
"","","","","Age 
(Ga)",""
"Angra 
dos Reis","VUP","0.00466","0.6197 (21)","4.555  (5)","TATSUMOTO"
"","","","","","et al.  (1973)"
"Total-As","WP","0.00162","0.6171 (4)","4.549  (1)","WASSERBURC"
"whitlockite-A§","me","0.00133","0.615s  (4)","4.546  (1)","et al.  (1977)tj"
"whitlockite-B$","me","0.00452","0.6163 (4)","4.547  (1)",""
"whole rocks","WT","0.00523","0.6179 (18)","4.551  (4)","CHEN and"
"whitlockites","me","0.00255","0.6190 (35)","4.553  (8)","WASSERBURG (1981)"
"ADOR-Px","","0.000173","0.62095 (18)","4.55780 (42)","This 
study"
"","PX","","","",""
"LEW-Px","PX","0.001439","0.62097 
(22)","4.55784 
(52)",""
