"Tectonic","Lithology","Age (Ma)","Dating","References"
"Unit","","","technique",""
"Oldest Basement","Amphibolite","804 ± 100","Sm/Nd","This study"
"Unit","(metabasic","","mineral",""
"","rocks)","","isochron",""
"Gray Granite","Quartz diorite,","750–490","U/Pb zircon","Bartnitsky et"
"Basement","plagiogranite,","","","al., 1989"
"Complex","gneissic,","","",""
"","granodiorite","","",""
"","(Dzirula salient)","","",""
"","Gneissic quartz","686 ± 54","Rb/Sr","Okrostsvaridze"
"","diorite (Dzirula","","whole-rock","et al., 2002"
"","salient)","","",""
"","Massive quartz","538 ± 53","Rb/Sr","Okrostsvaridze"
"","diorite","","whole-rock","et al., 2002"
"","Amphibole","607 ± 78","Sm/Nd","This study"
"","gabbro","","mineral",""
"","","","isochron",""
"Tectonic","Amphibolite","804 ± 100","Sm/Nd","This study"
"Mélange Zone","and metabasic","","mineral",""
"","rocks","","isochron",""
"","Phyllite","Cambrian–","Stratigraphy","Abesadze"
"","(sedimentary","Upper","","et al., 1980"
"","cover of","Devonian","",""
"","metaophiolite)","","",""
