"Sample","D1-84","D51-84","D65-84","D66-84","STD","D1-84"
"no","","","","","",""
"","WR","WR","WR","WR","WR","Spl⁎"
"SiO2","3867","3924","3988","3899","019","008"
"TiO2","0026","0027","0021","0016","0006","015"
"Al2O3","115","161","115","088","002","3736"
"FeO","611","645","726","701","004","1515"
"MnO","0116","0125","0109","0107","0002","016"
"MgO","3564","3739","3632","3753","050","1680"
"CaO","151","011","015","072","001",""
"Na2O","","008","008","006","003",""
"K2O","","002","004","002","001",""
"Cr2O3","0389","0534","0337","0359","0002","2990"
"NiO","","","","","","019"
"P2O5","0032","0009","0016","0008","0004",""
"LOI","1580","1458","1481","1474","",""
"Total","9944","10017","10018","10043","","9979"
"Cu","","4","9","7","2",""
"Ni","","2068","2159","2099","66",""
"Sr","","3","8","5","2",""
"Ti","","138","nd","78","11",""
"V","","43","35","28","4",""
"Zn","","71","58","53","5",""
"Co","","86","92","94","8",""
"Sc","","15","nd","5","2",""
"Y","","2","b4","1","1",""
"La","","","094","","",""
"Ce","","","15","","",""
"Nd","","","054","","",""
"Sm","","","011","","",""
"Eu","","","0027","","",""
"Tb","","","0013","","",""
"Yb","","","0058","","",""
"Lu","","","00097","","",""
