"Sample","68-84","UK-53","UK-115","T-289","3439","A-832","LG-3","GZ-1"
"no","","","","","","","",""
"SiO2","49.30","55.85","59.76","63.62","64.58","66.07","59.93","65.83"
"TiO2","0.79","1.18","1.12","0.57","0.85","0.46","0.88","0.98"
"Al2O3","16.70","17.52","18.01","16.16","16.30","14.59","17.36","15.70"
"FeO","8.00","6.99","6.61","5.69","5.68","5.34","7.89","6.08"
"MnO","0.14","0.11","0.08","0.10","0.08","0.16","0.20","0.08"
"MgO","5.80","4.67","3.20","0.98","3.00","2.54","3.81","1.79"
"CaO","6.80","3.49","4.71","3.25","3.69","3.06","2.96","4.82"
"Na2O","1.90","3.24","2.97","3.81","2.71","2.46","2.67","2.00"
"K2O","1.60","2.52","1.95","3.25","2.53","2.32","0.96","1.48"
"P2O5","0.12","0.33","0.33","0.17","0.27","0.14","0.26","0.30"
"LOI","7.85","4.35","1.65","1.48","0.65","3.01","3.09","0.76"
"Total","99.00","100.25","100.39","99.07","100.34","100.15","99.67","99.51"
"Rb","60.0","112.0","96.0","69.0","108.0","30.0","39.5","90.8"
"Ba","–","–","473","2028","538","–","605","565"
"Sr","270","–","371","307","252","–","520","535"
"Zr","60","–","303","289","294","–","205","435"
"Y","13.0","–","24.0","34.0","18.0","–","16.1","14.9"
"Nb","–","–","13","11","12","–","–","–"
"Th","1.4","5.8","5.6","12.8","1","7.3","1.7","3.56"
"Ta","–","0.7","–","0.5","0.6","0.4","0.56","0.94"
"Hf","2.2","6.9","3.6","–","5.6","–","4.19","19"
"La","10.30","31.00","37.00","95.00","14.00","14.20","13.00","14.80"
"Ce","19.30","50.00","65.00","150.00","24.00","22.00","26.50","31.70"
"Pr","2.30","5.30","7.00","12.00","2.50","2.40","3.02","3.95"
"Nd","8.30","20.00","25.00","38.00","8.50","8.00","11.90","17.20"
"Sm","1.87","4.80","6.00","8.10","2.00","2.20","3.08","4.89"
"Eu","0.83","1.30","11.00","1.30","0.85","0.24","1.13","1.70"
"Gd","2.60","5.50","5.50","4.80","2.70","2.50","4.23","5.80"
"Tb","0.42","0.80","0.83","0.75","0.48","0.38","0.63","0.81"
"Dy","2.60","4.50","5.10","4.70","2.70","2.40","3.76","4.50"
"Ho","0.57","0.95","1.15","1.10","0.65","0.55","0.81","0.91"
"Er","1.60","2.80","3.00","3.10","1.80","1.50","2.20","2.37"
"Tm","0.25","0.37","0.45","0.48","0.28","0.25","0.34","0.33"
"Yb","1.40","1.80","2.50","2.70","1.70","1.30","1.75","1.62"
"Lu","0.22","0.32","0.41","0.49","0.27","0.21","0.30","0.25"
