"Sample","","Extrusive calciocarbonatites","","","","","","",""
"","CY-95","CY-219","CY-221","CY-222","CY-225","CY-231","CY-238","CY-241","CY-246"
"Major elements (wt.%)","","","","","","","","",""
"SiO2","2.03","0.78","1.11","0.56","1.20","3.23","0.85","1.21","1.39"
"TiO2","0.183","0.174","0.316","0.198","0.236","0.279","0.166","0.159","0.156"
"Al2O3","0.82","0.23","0.40","0.25","0.40","1.31","0.40","0.38","0.64"
"T","","","","","","","","",""
"Fe2O3","5.06","5.73","9.76","6.38","7.24","7.51","5.04","4.51","3.31"
"MnO","0.964","1.217","1.929","1.337","1.466","1.464","1.015","0.949","0.832"
"MgO","1.00","1.12","1.52","1.06","1.16","0.84","0.54","0.72","0.84"
"CaO","50.04","48.06","48.22","50.96","46.98","44.88","50.04","51.79","49.55"
"Na2O","0.20","0.43","0.40","0.21","0.45","0.26","0.13","0.16","0.07"
"K2O","0.13","0.03","0.12","0.08","0.09","0.18","0.07","0.13","0.09"
"P2O5","0.90","1.08","2.21","0.98","1.19","1.86","1.09","1.02","0.39"
"LOI","37.21","37.24","34.08","37.97","36.65","38.12","37.14","37.78","42.44"
"F","1.10","0.70","0.45","0.46","0.82","1.14","0.77","0.84","0.13"
"Total","99.64","96.79","100.52","100.45","97.88","101.07","97.25","99.65","99.84"
"Trace elements (ppm)","","","","","","","","",""
"Rb","5.0","4.0","8.0","2.0","7.0","20.0","8.0","12.0","12.0"
"Sr","6596","7961","6811","4799","8434","7999","6671","5600","3008"
"Y","157","199","294","193","222","197","159","175","132"
"Zr","99","108","143","74","113","121","66","68","53"
"Nb","140","113","186","147","108","102","143","145","75"
"Cs","0.3","0.1","0.3","<0.1","0.2","2.6","0.2","0.5","0.3"
"Ba","10330","6019","9200","5634","3834","12140","11460","16130","431"
"Hf","1.4","2.4","2.5","1.5","2.2","1.8","1.2","1.1","1.0"
"Ta","0.62","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01","0.51","0.16"
"Pb","32","38","51","37","44","45","39","34","36"
"Th","25.3","35.0","56.0","34.4","36.6","35.9","26.7","24.7","20.2"
"U","4.07","5.24","8.09","2.50","5.67","3.13","3.65","2.47","2.41"
"La","531","363","722","511","416","421","327","417","506"
"Ce","507","636","1370","920","725","734","586","759","746"
"Pr","95","119","170","122","138","136","103","95","89"
"Nd","311","391","571","405","458","439","341","310","264"
"Sm","46.4","58.8","87.0","61.5","68.2","66.1","50.5","45.4","34.5"
"Eu","15.0","18.6","27.8","19.9","22.5","21.3","16.2","15.1","10.9"
"Gd","38.0","50.0","76.0","54.7","57.0","54.0","41.1","40.3","28.2"
"Tb","5.11","6.88","10.20","7.15","7.88","7.32","5.50","5.18","3.85"
"Dy","28.1","36.3","51.5","36.2","41.3","37.8","29.2","28.2","21.2"
"Ho","5.01","6.62","9.11","6.50","7.26","6.50","5.04","5.48","4.00"
"Er","13.6","17.9","26.1","17.6","19.5","17.2","13.6","15.9","11.5"
"Tm","1.81","2.44","3.88","2.44","2.58","2.21","1.75","2.24","1.57"
"Yb","11.0","15.0","24.2","14.5","15.2","13.0","10.5","13.3","9.7"
"Lu","1.53","2.10","3.27","1.97","2.06","1.73","1.44","1.79","1.37"
"PREE","1609","1724","3152","2180","1980","1957","1532","1754","1732"
