"Phase sample","Apatite","","","Calcite","","","","Biotite","","",""
"","CY-95","CY-95","CY-95","CY-95","CY-95","CY-221","CY-221","CY-95","CY-95","CY-221","CY-221"
"","ap2","ap4","ap5","cb21","cb43","cb12","cb24","mc5","mc11","mc1","mc4"
"Major elements (wt.%)","","","","","","","","","","",""
"SiO2","–","–","–","–","–","–","–","36.88","36.78","36.19","38.38"
"TiO2","–","–","–","bdl","bdl","bdl","bdl","3.85","2.01","3.41","2.79"
"Cr2O3","–","–","–","–","–","–","–","0.01","bdl","bdl","bdl"
"Al2O3","–","–","–","–","–","–","–","10.12","13.26","10.00","6.75"
"FeOT","0.07","0.08","0.05","0.01","0.06","0.76","0.31","24.98","20.18","24.10","23.95"
"MnO","bdl","0.06","0.02","–","–","–","–","0.89","0.87","0.81","0.64"
"MgO","–","–","–","0.97","0.52","0.63","0.75","9.45","12.30","10.99","12.18"
"CaO","54.97","55.09","54.77","53.15","54.67","49.82","51.94","0.08","0.05","bdl","0.02"
"SrO","0.61","0.63","0.62","0.31","0.14","0.68","0.64","–","–","–","–"
"BaO","–","–","–","bdl","0.05","0.74","0.60","0.70","0.16","0.23","0.08"
"Na2O","0.19","0.17","0.14","0.03","0.02","0.16","0.14","0.49","0.20","0.51","0.43"
"K2O","–","–","–","–","–","–","–","8.61","9.57","9.17","9.55"
"P2O5","41.50","41.66","41.98","–","–","–","–","–","–","–","–"
"La2O3","0.06","0.09","0.23","0.02","bdl","0.09","0.04","–","–","–","–"
"Ce2O3","0.23","0.23","0.32","0.03","0.04","0.46","0.38","–","–","–","–"
"Nd2O3","0.18","0.03","0.15","0.01","bdl","0.01","0.02","–","–","–","–"
"F","4.04","4.15","4.12","–","–","–","–","–","–","–","–"
"Cl","0.02","0.02","bdl","–","–","–","–","–","–","–","–"
"O(cid:5)F","1.70","1.75","1.74","–","–","–","–","–","–","–","–"
"O(cid:5)Cl","0.00","0.00","0.00","–","–","–","–","–","–","–","–"
"Total","100.17a","100.46a","100.67a","54.53","55.48","53.36","54.81","96.08","95.38","95.42","94.76"
"No oxygens","24","24","24","6","6","6","6","22","22","22","22"
"Si","","","","","","","","5.904","5.730","5.773","6.165"
"Ti","","","","","","","","0.464","0.236","0.409","0.337"
"Cr","","","","","","","","0.001","0.000","0.000","0.000"
"Al","","","","","","","","1.910","2.435","1.880","1.277"
"Fe2+","0.010","0.011","0.007","0.000","0.002","0.023","0.009","3.343","2.629","3.215","3.217"
"Mn","0.000","0.009","0.003","","","","","0.121","0.114","0.109","0.087"
"Mg","","","","0.049","0.026","0.034","0.039","2.256","2.856","2.614","2.917"
"Ca","9.841","9.844","9.841","1.943","1.968","1.909","1.924","0.014","0.009","0.000","0.004"
"Sr","0.059","0.061","0.060","0.006","0.003","0.014","0.013","","","",""
"Ba","","","","0.000","0.001","0.010","0.008","0.044","0.009","0.015","0.005"
"Na","0.061","0.054","0.046","0.002","0.001","0.011","0.009","0.153","0.062","0.159","0.134"
"K","","","","","","","","1.758","1.901","1.866","1.957"
"P","5.871","5.882","5.960","","","","","","","",""
"La","0.004","0.005","0.014","0.000","0.000","0.001","0.001","","","",""
"Ce","0.014","0.014","0.019","0.000","0.000","0.006","0.005","","","",""
"Nd","0.011","0.002","0.009","0.000","0.000","0.000","0.000","","","",""
"Sum cation","15.871","15.882","15.960","2.001","2.000","2.009","2.007","15.969","15.981","16.039","16.099"
"F","1.067","1.095","1.094","","","","","","","",""
"Cl","0.002","0.003","0.000","","","","","","","",""
"OH calc","0.931","0.902","0.906","","","","","","","",""
