"Phase sample","Apatite","","","","","","Calcite","","","","Biotite",""
"","CY-116","CY-116","CY-116","CY-145","CY-145","CY-145","CY-116","CY-116","CY-145","CY-1145","CY-116","CY-116"
"","ap1","ap2","ap8","ap2","ap4","ap7","cb1","cb7","cb2","cb7","mc4","mc8"
"Major elements (wt.%)","","","","","","","","","","","",""
"SiO2","–","–","–","–","–","–","–","–","–","–","36.12","37.06"
"TiO2","–","–","–","–","–","–","0.04","bdl","bdl","bdl","4.41","3.71"
"Cr2O3","–","–","–","–","–","–","–","–","–","–","bdl","0.02"
"Al2O3","–","–","–","–","–","–","–","–","–","–","13.13","12.56"
"FeOT","0.03","0.07","0.05","0.01","0.02","bdl","0.36","0.30","0.79","0.57","20.16","19.28"
"MnO","0.04","0.03","0.02","0.02","0.02","0.01","–","–","–","–","0.48","0.45"
"MgO","–","–","–","–","–","–","0.27","0.27","0.19","0.12","11.54","12.56"
"CaO","54.69","54.45","55.01","54.41","54.46","54.33","53.64","51.72","52.70","52.37","bdl","0.09"
"SrO","0.47","0.53","0.55","0.91","0.97","0.88","0.68","0.59","0.15","0.41","-","-"
"BaO","–","–","–","–","–","–","0.04","0.07","0.02","0.04","0.39","0.30"
"Na2O","0.23","0.28","0.24","0.13","0.16","0.16","0.01","0.02","bdl","0.02","0.33","0.33"
"K2O","–","–","–","–","–","–","–","–","–","–","9.43","9.50"
"P2O5","42.33","42.20","41.07","42.11","41.91","42.05","–","–","–","–","–","–"
"La2O3","0.03","0.07","0.16","0.15","0.08","0.15","0.01","bdl","0.00","bdl","–","–"
"Ce2O3","0.28","0.39","0.15","0.20","0.26","0.24","0.01","0.07","0.08","0.04","–","–"
"Nd2O3","0.10","0.20","0.07","0.03","0.10","0.05","bdl","bdl","0.018","0.01","–","–"
"H2O calc","–","–","–","–","–","–","–","–","–","–","4.01","4.12"
"F","3.31","3.45","3.64","3.63","3.60","3.51","–","–","–","–","–","–"
"Cl","0.01","0.01","0.01","bdl","bdl","0.00","–","–","–","–","–","–"
"O(cid:5)F","1.39","1.45","1.53","1.53","1.51","1.48","–","–","–","–","–","–"
"O(cid:5)Cl","0.00","0.00","0.00","–","–","0.00","–","–","–","–","–","–"
"Total","100.13a","100.22a","99.42a","100.09a","100.06a","99.90a","55.06","53.05","53.95","53.58","95.99","95.88"
"No oxygens","24","24","24","24","24","24","6","6","6","6","22","22"
"Si","","","","","","","","","","","5.658","5.769"
"Ti","","","","","","","0.001","0.000","0.000","0.000","0.520","0.434"
"Cr","","","","","","","","","","","0.000","0.003"
"Al","","","","","","","","","","","2.423","2.304"
"Fe2+","0.004","0.010","0.007","0.001","0.003","0.000","0.010","0.009","0.023","0.017","2.641","2.510"
"Mn","0.006","0.004","0.002","0.003","0.003","0.002","","","","","0.064","0.059"
"Mg","","","","","","","0.014","0.014","0.010","0.006","2.694","2.921"
"Ca","9.844","9.802","9.838","9.839","9.821","9.835","1.960","1.962","1.963","1.967","0.000","0.015"
"Sr","0.046","0.051","0.054","0.089","0.095","0.086","0.013","0.012","0.003","0.008","",""
"Ba","","","","","","","0.000","0.001","0.000","0.001","0.024","0.018"
"Na","0.075","0.092","0.076","0.044","0.051","0.051","0.001","0.001","0.000","0.001","0.100","0.101"
"K","","","","","","","","","","","1.884","1.887"
"P","6.021","6.003","5.804","6.017","5.973","6.015","","","","","",""
"La","0.002","0.005","0.010","0.009","0.005","0.009","0.000","0.000","0.000","0.000","",""
"Ce","0.017","0.024","0.009","0.012","0.016","0.015","0.000","0.001","0.001","0.001","",""
"Nd","0.006","0.012","0.004","0.002","0.006","0.003","0.000","0.000","0.000","0.000","",""
"Sum cation","16.021","16.003","15.804","16.017","15.973","16.015","2.001","2.001","2.000","2.001","16.008","16.022"
"F","0.880","0.917","0.960","0.969","0.957","0.938","","","","","",""
"Cl","0.001","0.002","0.001","0.000","0.000","0.000","","","","","",""
"OH calc","1.119","1.081","1.039","1.031","1.043","1.061","","","","","",""
