"S
amp","SiO2","Ti","Al2","Fe2","Mn","Mg","Ca","Na2","K2","P2","LO","Total","CIAc","Mg#b","Age("
"lea","","O2","O3","b 
O3","O","O","O","O","O","O5","I","","","","Ma)d"
"Basal","","","","","","","","","","","","","","",""
"ts","","","","","","","","","","","","","","",""
"T2-1","48.67","","","","","","","","","","","","44.0","37.6",""
"I-75-","49.38","","","","","","","","","","","","41.0","48.2","1.1"
"1","","","","","","","","","","","","","","",""
"I-98-","50.86","","","","","","","","","","","","40.8","45.1","1.9"
"1","","","","","","","","","","","","","","",""
"I-99-","50.92","","","","","","","","","","","","41.4","44.9","0.2"
"1","","","","","","","","","","","","","","",""
"T2-5","49.46","","","","","","","","","","","","41.5","49.1","0.6"
"I-55-","49.59","","","","","","","","","","","","42.1","48.5","1.0"
"1","","","","","","","","","","","","","","",""
"I-34-","50.30","ACCEPTED M ANUSCRIPT","","","","","","","","","","","42.1","52.8","0.5"
"1","","","","","","","","","","","","","","",""
"I-47-","50.72","","","","","","","","","","","","41.8","53.4","0.2"
"1","","","","","","","","","","","","","","",""
"I-48-","50.13","","","","","","","","","","","","41.3","51.6","0.4"
"1","","","","","","","","","","","","","","",""
"I-50-","50.49","","","","","","","","","","","","41.5","50.4","0.3"
"1","","","","","","","","","","","","","","",""
"T9-2","50.36","","","","","","","","","","","","41.8","52.0","0.3"
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"Jin-2 
 
Trac","52.14","","","","","","","","","","","","42.9","51.8","0.4"
"hytes","","","","","","","","","","","","","","",""
"8-24-","58.79","0.8","17.","7.2","0.2","1.0","2.4","5.74","4.","0.5","0.5","99.5","49.1","24.8","1.1"
"15","","1","91","1","0","2","0","","39","2","7","6","","",""
"8-24-","62.70","0.7","17.","5.5","0.1","0.7","1.7","5.52","5.","0.2","0.1","99.8","48.8","24.2","0.8"
"6","","2","02","7","8","6","1","","21","6","8","3","","",""
"8-24-","62.87","0.7","16.","5.4","0.1","0.7","1.7","5.55","5.","0.2","0.3","99.8","48.5","24.0","0.9"
