"Sample","T2-1","I-75-1","I-98-1","I-99-1","T2-5","I-55-1","I-34-1","I-47-1","I-48-1","I-50-1"
"Locality","Baishan","","","","","Laofangzixiaoshan","Heishigou","","",""
"Rock types","Basalts","","","","","","","","",""
"Trace elements (ppm)","","","","","","","","","",""
"Li","10.4","7.6","7.7","8.2","7.3","7.2","8.3","8.4","6.9","6.7"
"Be","1.8","1.4","1.7","1.9","1.6","1.6","1.7","1.8","1.9","1.8"
"Sc","17.2","20.8","18.6","18.3","16.7","17.1","15.7","16.1","14.9","17.5"
"V","234.1","238.3","213.4","220.7","194.0","191.6","184.7","172.2","192.7","204.9"
"Cr","8.3","69.4","43.2","39.1","82.5","75.5","96.5","","69.8","68.1"
"Co","41.4","37.6","34.1","35.6","39.8","37.0","43.8","","34.8","36.0"
"Ni","38.2","37.1","37.9","33.8","60.8","46.6","91.8","PT","45.9","40.5"
"Cu","35.2","46.1","38.9","41.1","39.1","32.5","32.2","","34.4","39.3"
"","","","","","","","","","",""
"","","","","","","","","","",""
"Zn","166.1","154.7","149.6","153.7","152.7","150.8","150.5 
I","","133.4","141.9"
"Rb","42.4","40.9","36.5","39.0","35.1","32.9","31.7","33.2","35.6","37.7"
"Sr","642.9","750.1","655.0","670.8","681.9","663.9","623.7 
R","636.5","854.9","790.5"
"","","","","","","","","","",""
"","","","","","","","","","",""
"Y 
Zr","27.9 
277.3","24.2 
263.4","23.6 
259.2","25.3 
266.6","23.8 
243.4","","22.6 
232.4","22.9 
228.6","22.9 
232.1","22.8 
249.8"
"Nb","43.1","39.6","36.5","36.9","35.4","","31.5","29.8","33.1","35.9"
"Cs","0.3","0.2","0.3","0.3","0.2","USC","0.3","0.5","0.4","0.3"
"Ba","742.0","779.1","705.8","718.5","664.1","","645.4","625.8","650.3","729.0"
"La","43.7","40.1","37.0","38.4","36.8","","32.5","32.2","41.0","37.3"
"","","","","","","","","","",""
"","","","","","","","","","",""
"Ce 
Pr","87.2 
11.0","","","","","10.0","64.8 
8.4","64.3 
8.4","67.9 
10.6","71.4 
9.7"
"Nd","47.0","","","","","43.9","37.4","36.9","45.1","42.6"
"Sm","9.6","","","","","9.5","8.2","8.2","9.4","9.2"
"Eu","2.7","","","","","2.6","2.5","2.4","2.6","2.9"
"Gd","8.2","","","","","7.6","6.8","6.9","7.6","7.5"
"Tb","1.2","","","","","1.1","1.0","1.0","1.1","1.1"
"Dy","6.8","","","","","5.9","5.5","5.4","5.8","5.7"
"Ho","1.3","","","","","1.1","1.0","1.0","1.0","1.0"
"Er","3.1","","CEPTED MAN","","","2.5","2.4","2.5","2.4","2.4"
"Tm","0.4","","","","","0.3","0.3","0.3","0.3","0.3"
"Yb","2.5","","","","","2.0","1.9","2.0","1.8","1.9"
"Lu","0.4","","","","","0.3","0.3","0.3","0.3","0.3"
"Hf","7.1","","","","","5.8","5.8","5.6","5.6","6.0"
"Ta","2.8","","","","","2.2","2.0","1.9","2.1","2.2"
"Pb","5.8","","","","","5.0","4.6","4.6","4.8","4.5"
"Th","5.0","","","","","3.3","3.2","3.2","3.5","3.9"
"U","0.9","","","","","0.6","0.6","0.7","0.8","0.8"
"","","","","","","","","","",""
"","","","","","","","","","",""
"Ratios 
δEub","","1.1","1.0","1.0","0.9","0.9","1.0","1.0","0.9","1.1"
"Nb/U","AC","70.7","55.6","49.2","50.2","60.9","49.8","43.8","43.6","45.5"
"","","","","","","","","","",""
"Zr/Hf","","40.4","39.7","39.4","40.8","41.0","40.3","41.0","41.6","41.7"
