"Sample","2-15-2","2(1)S","I-7-2","I-8-1","I-8-2","I-101-1","GSR1","GSR1a","GSR3","GSR3a"
"Locality","Baitoushan","","","","","","measuredd","","measuredd",""
"Rocktypes","Trachytes","","","","","","","","",""
"Traceelements(ppm)","","","","","","","","","",""
"Li","306","358","378","403","312","448","1203","1310","94","95"
"Be","53","90","68","60","67","133","131","124","24","25"
"Sc","45","32","37","48","38","35","62","61","166","152"
"V","84","05","19","04","09","03","223","240","1601","1670"
"Cr","29","14","28","39","17","12","23","50","1271","1340"
"Co","11","02","04","06","06","05","32","","437","465"
"Ni","12","10","03","03","16","09","19","","1295","1400"
"Cu","17","24","01","28","00","65","32","PT","439","486"
"Zn","2185","2285","1864","1472","1791","2365","264","280","1459","1500"
"","","","","","","","","","",""
"","","","","","","","","","",""
"Rb","2163","2060","1912","1906","1926","2738","4660I","4660","375","370"
"Sr","324","62","68","70","66","66","1057","1060","10631","11000"
"Y","446","898","228","393","265","985","601R","620","209","220"
"","","","","","","","","","",""
"Zr","13885","13131","10942","10876","10601","","1592","1670","2613","2770"
"Nb","1546","1596","1245","1213","1197","","391","400","687","680"
"Cs","11","15","12","08","11","","396","384","05","05"
"Ba","1009","61","94","111","91","USC","3346","3430","5524","5260"
"La","871","1711","1061","879","858","","534","540","575","560"
"Ce","1749","2899","2148","2245","1776","","1043","1080","1064","1050"
"","","","","","","","","","",""
"","","","","","","","","","",""
"PrNd","219835","","","","","1467","126457","127470","132552","132540"
"Sm","152","","","","","273","94","97","107","102"
"Eu","05","","","","","05","09","09","32","32"
"Gd","122","","","","","240","91","93","91","85"
"Tb","19","","","","","39","16","17","12","12"
"Dy","103","","","","","222","99","102","58","56"
"Ho","20","","","","","44","21","21","10","09"
"Er","52","","","","","113","62","65","21","20"
"Tm","08","","","","","16","10","11","03","03"
"Yb","51","","CEPTEDMAN","","","97","72","74","14","15"
"Lu","08","","","","","14","11","12","02","02"
"Hf","345","","","","","478","64","63","67","65"
"Ta","108","","","","","129","71","72","44","43"
"Pb","255","","","","","300","319","310","54","47"
"Th","291","","","","","384","521","540","73","60"
"U","22","","","","","75","191","188","16","14"
"Ratios","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"δEubNb/U","","353","337","410","353","006246","","","",""
"Zr/Hf","","408","407","394","391","406","","","",""
"","AC","","","","","","","","",""
