"Descriptiona","","","","","","","","","","","","Apparent ages (Ma)","","",""
"","Longitude","Latitude","Weight","","Th","Pb","TCPb","206Pb/","206Pb/238Ub","207Pb/235Ub","207Pb/206Pbb","206Pb/238U","207Pb/235U","207Pb/","Discordance"
"","","","(μg)","U (
ppm)","(ppm)","(ppm)","(pg)","204Pb","","","","","","206Pb","[%]"
"West Greenland — Sarfartoq","","","","","","","","","","","","","","",""
"265849 (Concordia age = 585.8 ± 2.8 Ma; 2σ)","− 50.478700","66.714510","","","","","","","","","","","","",""
"4. Brown fragments/octahedrons; M@0.6A (130)","","","59","92","454","23","195","184","0.09510 ± 24","0.7829 ± 64","0.05971 ± 50","585.6 ± 1.4","587.1 ± 3.6","593 ± 18","1.3"
"444201 (Concordia age = 566.0 ± 3.6 Ma; 2σ)","− 51.214485","66.808650","","","","","","","","","","","","",""
"2. Black fragments; M@0.3A (200)","","","46","64","305","16","123","154","0.09176 ± 30","0.7541 ± 117","0.05961 ± 90","565.9 ± 1.8","570.6 ± 6.7","589 ± 32","4.1"
"444206 (WA Concordia age = 580.2 ± 1.5 Ma; 2σ)","− 51.277233","66.702756","","","","","","","","","","","","",""
"1. Dark brown cubes; M@0.4A (209)c","","","92","203","982","48","467","262","0.09402 ± 18","0.7669 ± 47","0.05916 ± 36","579.2 ± 1.1","578.0 ± 2.7","573 ± 13","− 1.1"
"3. Black-brown octahedrons; M@0.4A (50)","","","91","166","828","40","365","263","0.09434 ± 17","0.7711 ± 45","0.05928 ± 35","581.2 ± 1.0","580.4 ± 2.6","577 ± 13","− 0.7"
"444269 (WA Concordia age = 570.9 ± 1.9 Ma; 2σ)","− 50.809295","66.174839","","","","","","","","","","","","",""
"3. Dark brown fragments; M@0.6A (150)c","","","137","82","820","32","466","158","0.09246 ± 34","0.7341 ± 84","0.05758 ± 65","570.1 ± 2.0","559.0 ± 4.9","514 ± 25","− 11.4"
"4. Dark brown fragments; M@0.6A (200)","","","136","81","1028","37","458","157","0.09264 ± 26","0.7606 ± 75","0.0595 ± 6","571.2 ± 1.5","574.3 ± 4.3","587 ± 22","2.8"
"5. Dark brown fragments; M@0.6A (100)","","","160","62","441","19","413","157","0.09269 ± 27","0.7556 ± 74","0.0591 ± 6","571.4 ± 1.6","571.5 ± 4.3","572 ± 22","0.1"
"464611 (Concordia age = 587.4 ± 3.5 Ma; 2σ)","− 52.173025","66.517464","","","","","","","","","","","","",""
