"Sample no.","ID-TIMS U–Pb age (Ma)","87Sr/86Srm","Sm","Nd","147Sm/144Ndm","143Nd/144Ndm","a143Nd/144Ndi","b(εNd)i"
"","(This study)","","(ppm)","(ppm)","","","",""
"West Greenland — Sarfartoq","","","","","","","",""
"265849-4","585.8 ± 2.8","0.702877 (23)","418","3997","0.0635","0.512254 (9)","0.512010","2.5"
"444201-2","566.0 ± 3.6","0.702911 (79)","375","2820","0.0808","0.512343 (8)","0.512044","2.6"
"444201-3","566.0 ± 3.6","0.702891 (17)","406","2937","0.0839","0.512339 (11)","0.512028","2.3"
"444206-3","580.2 ± 1.5","0.702820 (14)","219","2095","0.0635","0.512232 (7)","0.511991","2.0"
"444269-4","570.9 ± 1.9","0.703161 (17)","497","4213","0.0716","0.512245 (15)","0.511977","1.5"
"444269-5","570.9 ± 1.9","0.703153 (20)","419","3494","0.0728","0.512230 (13)","0.511958","1.1"
"464611-1","587.4 ± 3.5","0.702838 (27)","135","988","0.0829","0.512331 (14)","0.512012","2.6"
"464633-4","584.9 ± 1.7","0.702815 (13)","416","3963","0.0637","0.512222 (11)","0.511978","1.8"
"464633-5","584.9 ± 1.7","0.702781 (11)","216","2088","0.0627","0.512221 (7)","0.511981","1.9"
"464633-5-replicate","584.9 ± 1.7","0.702787 (12)","216","2086","0.0627","0.512205 (7)","0.511964","1.6"
"464645-3","564.8 ± 1.8","0.702905 (17)","159","1161","0.0832","0.512331 (17)","0.512023","2.2"
"472519-2","561.9 ± 3.0","0.702927 (17)","394","2864","0.0835","0.512342 (13)","0.512035","2.4"
"472522-3","576.6 ± 1.6","0.702837 (14)","288","2366","0.0740","0.512258 (8)","0.511979","1.6"
"477423-3","577.9 ± 1.6","0.702885 (17)","260","2042","0.0772","0.512306 (8)","0.512014","2.4"
"483815-4","556.7 ± 2.6","0.702876 (15)","175","1512","0.0703","0.512360 (63)","0.512103","3.6"
"491803-3","579.8 ± 2.8","0.702813 (15)","178","1360","0.0796","0.512305 (9)","0.512003","2.2"
"491807-3","581.9 ± 1.3","0.702784 (13)","190","1451","0.0793","0.512296 (6)","0.511994","2.1"
"491912-4","580.6 ± 3.5","0.702832 (17)","141","977","0.0876","0.512367 (7)","0.512034","2.8"
"West Greenland — Tikiusaaq","","","","","","","",""
"488520-2","159.4 ± 1.3","0.703456 (12)","529","5995","0.0535","0.512736 (7)","0.512680","4.8"
"488546-3","162.1 ± 1.2","0.703370 (20)","355","4493","0.0480","0.512734 (10)","0.512683","5.0"
"488548-2","163.8 ± 2.4","0.703192 (13)","181","2274","0.0483","0.512738 (6)","0.512686","5.1"
