"","Kamchatkan","Bulkpartition","Mutnovsky","","","","Gorely","","",""
"","Mantlea,d","Coeﬃcientsa","Primitivemeltb","Arcmantle","Slabinput","Slabcomponent","Primitivemeltc","Arcmantle","Slabinput","Slabcomponent"
"","","","","","","forXsc=1%e","","","","ForXsc=1%e"
"","(ppm)","","(ppm)","(ppm)","%","(ppm)","(ppm)","(ppm)","(%)","(ppm)"
"Rb","005","00001","255","046","89","407","1265","131","96","126"
"Ba","0563","000012","914","164","97","1581","249","257","98","2519"
"Th","00079","0001","017","003","74","227","092","010","92","880"
"U","00032","00011","009","002","80","130","035","004","91","333"
"Nb","01485","00034","072","0131","0","(cid:6)161","254","0270","45","123"
"Ta","00096","00034","004","0007","0","(cid:6)022","014","0015","36","054"
"La","0192","001","290","054","65","353","834","094","79","746"
"Ce","055","0022","801","158","65","103","208","256","79","201"
"Pb","0018","0014","226","043","96","413","338","0392","95","374"
"Nd","0581","0031","677","138","58","809","139","182","68","125"
"Sr","7664","0025","334","667","89","5912","39826","501","85","4248"
"Sm","0239","0045","202","044","45","200","35","050","52","266"
"Zr","5082","0033","341","703","28","200","8363","111","54","608"
"Hf","0157","0035","103","021","27","585","215","029","46","134"
"Eu","0096","005","071","016","39","612","107","016","39","635"
"Gd","0358","0056","223","050","29","147","345","053","32","175"
"Dy","0505","0079","247","060","16","102","339","059","14","904"
"Y","3328","0088","144","363","8","331","1965","358","7","286"
"Er","0348","0097","145","038","7","305","193","037","5","227"
"Yb","0365","0115","140","038","5","214","186","038","5","226"
"Lu","0058","012","0209","006","0","006","0275","006","0","006"
"87Sr/86Sr","0702750","","0703317","","","0703390","0703164","","","0703238"
"143Nd/144Nd","0513100","","0513059","","","0513030","0513043","","","0513017"
"176Hf/177Hf","0283275","","0283208","","","0283031","0283214","","","0283143"
"206Pb/204Pb","17760","","18374","","","18400","18341","","","18369"
"207Pb/204Pb","15370","","15512","","","15518","15502","","","15508"
"208Pb/204Pb","37360","","38150","","","38184","38091","","","38126"
