"","N87","N89","N88","N65-A","N62","N65-B","N57","N56","N63","N67","N66","N84"
"Location","Gorely","Gorely","Gorely","Gorely","Gorely","Gorely","Gorely","Gorely","Gorely","Gorely","Gorely","Gorely"
"LatitudeN","52559","52591","52580","52544","52548","52544","52559","52559","52548","52545","52545","52589"
"LongitudeE","158043","157996","157992","158016","158000","158016","158017","158017","158000","158032","158022","158000"
"","Q3–4","Q4","8–11Ky","Q4(?)","8–11Ky","Q4(?)","Q4(?)","Q4","8–11Ky","(cid:2)250BP","Q4(?)","3000BP"
"Rock","Bas","Bas","Bas","Bas","Bas","Bas","Bas","Bas","Bas","Bas","Bas","Bas"
"type","andesite","andesite","andesite","andesite","andesite","andesite","andesite","andesite","andesite","andesite","andesite","andesite"
"SiO2","536","532","530","538","539","548","553","549","548","543","542","553"
"TiO2","117","110","106","121","103","125","123","124","104","124","122","122"
"A12O3","164","171","174","168","173","166","165","166","171","164","165","164"
"Fe2O3t","983","949","958","977","896","954","949","947","894","947","962","917"
"MnO","016","017","017","015","016","016","016","016","016","016","015","016"
"MgO","543","521","513","475","462","452","451","450","447","446","444","437"
"CaO","771","819","863","798","827","746","760","750","786","737","737","721"
"Na2O","323","332","322","313","328","339","336","345","334","345","341","346"
"K2O","164","135","116","167","139","194","184","193","151","193","189","201"
"P2O5","041","037","033","042","029","044","042","045","030","046","045","044"
"H2O","037","059","042","068","052","014","025","024","045","025","056","024"
"CO2","003","004","003","004","003","002","005","004","003","002","004","001"
"Sum","1000","1001","1001","1004","998","1003","1007","1005","1001","995","998","1000"
"Co","31","32","29","28","27","26","25","26","25","28","26","24"
"Cr","166","90","97","95","80","95","81","101","85","100","95","109"
"Ni","66","31","28","26","8","27","21","29","19","28","42","29"
"V","237","240","259","246","242","224","235","226","235","225","224","217"
"Zn","85","82","86","89","78","84","87","82","73","82","88","80"
"Ce","29","26","11","37","21","41","50","31","35","59","26","58"
"La","<14","<14","<14","<14","16","<14","<14","<14","<14","<14","<14","<14"
"Nb","8","7","6","8","3","8","8","8","6","8","8","7"
"Ga","14","17","20","15","16","19","16","18","19","18","20","15"
"Pb","10","10","8","8","11","13","9","10","7","6","11","7"
"Pr","<4","<4","<4","<4","<4","<4","<4","<4","<4","<4","<4","<4"
"Rb","29","24","19","33","26","39","35","35","29","37","36","39"
"Ba","470","457","397","510","405","526","524","536","428","532","520","548"
"Sr","422","499","470","450","446","429","408","437","432","432","425","416"
"Th","<4","<4","<4","<4","<4","<4","<4","4","<4","<4","<4","<4"
"Y","35","29","29","32","27","36","34","38","27","37","35","36"
"Zr","179","147","134","180","131","215","200","214","145","211","203","219"
