"","N55","N90","N80","N92","N64","N60","N59","N61","N68","N86","N82","N58","N70"
"Location","Gorely","Gorely","Gorely","Gorely","Gorely","Gorely","Gorely","Gorely","Gorely","Gorely","Gorely","Gorely","Gorely /"
"","","","","","","","","","","","","","Skalistaya"
"Latitude N","52.583","52.523","52.571","52.517","52.547","52.552","52.560","52.549","52.545","52.549","52.571","52.576",""
"Longitude E","158.016","157.958","158.010","157.951","158.006","157.988","157.972","157.998","158.032","158.064","158.002","157.971",""
"","8–11 Ky","(cid:2)250 BP","Q3 (?)","(cid:2)250 BP","(cid:2)250 BP","(cid:2)250 BP","(cid:2)250 BP","(cid:2)250 BP","Q3","(cid:2)250 BP","Q3","Q2","63-68 Ky"
"Rock","Bas.","Bas.","Bas.","Trachyan-","Trachyan-","Trachyan-","Trachyan-","Trachyan-","Andesite","Trachyan-","Trachyte","Rhyolite","Rhyolite"
"type","andesite","andesite","andesite","desite","desite","desite","desite","desite","","desite","","",""
"SiO2","55.9","56.8","56.9","57.3","57.3","57.2","57.8","57.2","58.1","57.6","60.4","68.9","76.8"
"TiO2","1.24","1.37","1.24","1.39","1.38","1.37","1.40","1.37","1.39","1.39","1.29","0.69","0.19"
"A12O3","16.3","15.9","16.2","15.9","15.9","16.0","16.1","16.2","16.4","15.9","15.3","15.0","12.2"
"Fe2O3t","9.27","9.25","8.82","9.18","9.00","8.89","9.02","9.06","8.79","9.00","7.74","2.75","1.24"
"MnO","0.16","0.16","0.16","0.16","0.15","0.16","0.16","0.15","0.14","0.15","0.16","0.12","0.04"
"MgO","4.29","3.15","3.09","2.94","2.90","2.89","2.87","2.85","2.78","2.75","2.17","0.79","0.27"
"CaO","7.00","6.41","6.35","6.19","6.19","6.24","6.18","6.26","6.11","6.02","4.71","1.83","1.03"
"Na2O","3.52","3.56","3.99","3.73","3.69","3.75","3.82","3.73","3.36","3.75","4.54","5.44","3.96"
"K2O","2.12","2.48","1.88","2.61","2.59","2.58","2.65","2.58","2.14","2.71","2.51","3.30","3.36"
"P2O5","0.46","0.52","0.42","0.54","0.53","0.54","0.54","0.53","0.48","0.56","0.51","0.13","0.03"
"H2O","0.38","0.24","0.70","0.18","0.28","0.27","0.28","0.24","0.26","0.24","0.28","0.35","0.38"
"CO2","0.05","0.03","0.01","0.01","0.03","0.04","0.03","0.02","0.03","0.01","0.01","0.03","0.04"
"Sum","100.7","99.9","99.8","100.1","99.9","99.9","100.9","100.2","100.0","100.1","99.6","99.3","99.5"
"Co","24","22","20","19","18","17","19","20","22","16","11","4","5"
"Cr","109","31","<18","<18","21","27","31","27","49","<18","<18","<18","<18"
"Ni","39","10","5","5","<2","3","3","19","11","6","<2","<2","<2"
"V","208","214","254","217","201","205","210","212","231","204","161","41","16"
"Zn","86","85","83","87","88","88","89","88","83","91","86","66","29"
"Ce","56","50","28","48","56","42","60","64","51","57","47","73","20"
"La","<14","<14","16","21","18","<14","<14","<14","<14","17","<14","<14","<14"
"Nb","8","9","8","10","9","11","13","11","8","11","9","6","<2"
"Ga","19","17","17","14","16","21","16","15","19","17","17","15","10"
"Pb","8","14","11","17","9","17","12","13","13","12","14","11","11"
"Pr","<4","<4","<4","<4","7","<4","<4","<4","<4","6","5","13","<4"
"Rb","41","48","35","53","53","53","53","51","41","55","43","60","66"
"Ba","583","681","571","683","694","688","671","688","621","694","748","879","821"
"Sr","404","373","424","364","366","368","362","372","411","361","354","200","87"
"Th","<4","6","<4","5","4","<4","5","<4","<4","<4","<4","<4","8"
"Y","39","44","35","48","45","46","48","47","37","47","48","51","16"
"Zr","229","280","199","293","292","293","295","292","246","306","266","340","121"
