"Sample no.","N72","N75","N73","N71","N74","N79","N94","N78","N98","N77","N69",""
"Location","Mutnovsky","Mutnovsky","Mutnovsky","Mutnovsky","Mutnovsky","Mutnovsky","Mutnovsky","Mutnovsky","Mutnovsky","Mutnovsky","Gorely",""
"Rock type","Basalt","Basalt","Basalt","Basalt","Basalt","Bas. andesite","Basalt","Bas. andesite","Bas. andesite","Andesite","Basalt",""
"Rb","2.00","4.40","3.86","3.54","4.03","11.2","3.18","7.43","4.60","11.7","12.6",""
"Ba","96.5","192","165","136","150","321","157","262","161","304","304",""
"Th","0.122","0.228","0.182","0.153","0.199","0.573","0.198","0.643","0.204","0.644","1.04",""
"U","0.127","0.151","0.153","0.129","0.146","0.349","0.155","0.413","0.170","0.382","0.401",""
"La","4.65","5.53","3.68","3.70","4.64","10.9","4.13","7.92","4.63","7.88","12.3",""
"Ce","11.1","12.9","10.4","10.3","12.0","25.2","11.4","18.0","12.9","22.0","26.4",""
"Pb","2.33","3.01","2.69","2.43","2.71","3.57","2.96","5.04","3.01","5.99","3.30",""
"Nd","8.63","9.71","9.00","8.89","9.91","17.0","9.83","12.6","11.4","18.9","16.2",""
"Sr","","399","","407","417","452","394","426","380","366","410",""
"Sm","2.48","2.74","2.73","2.67","2.94","4.35","2.92","3.38","3.44","5.51","3.97",""
"Hf","1.37","1.55","1.37","1.42","1.55","2.68","1.62","2.14","1.92","3.30","2.44",""
"Eu","0.880","0.960","0.991","0.967","1.03","1.54","1.04","","1.22","","1.24",""
"Gd","2.82","3.09","3.17","3.05","3.38","4.53","3.48","","4.13","","3.94",""
"Dy","3.00","3.28","3.49","3.39","3.66","4.84","3.71","3.97","4.40","","3.96",""
"Er","1.85","2.03","2.18","","2.34","2.91","2.31","2.45","2.76","4.01","2.36",""
"Yb","1.70","1.89","2.01","1.97","2.16","2.69","2.17","2.32","2.60","3.90","2.18",""
"Lu","0.249","0.277","0.295","0.292","0.321","0.392","0.317","0.347","0.387","0.584","0.317",""
"Sample no.","N87","N89","N88","N67","N84","N55","N90","N80","N60","N86","N82","N58"
"Location","Gorely","Gorely","Gorely","Gorely","Gorely","Gorely","Gorely","Gorely","Gorely","Gorely","Gorely","Gorely"
"Rock type","Bas. andesite","Bas. andesite","Bas. andesite","Bas. andesite","Bas. andesite","Bas. andesite","Bas. andesite","Bas. andesite","Trachyandesite","Trachyandesite","Trachyte","Rhyolite"
"Rb","24.9","20.1","16.5","33.5","34.4","36.4","45.3","29.5","43.9","49.3","40.2","52.3"
"Ba","436","469","402","551","525","569","658","566","691","689","725","913"
"Th","1.58","1.30","1.02","2.31","2.35","2.36","","2.08","2.57","3.34","2.83","3.46"
"U","0.887","0.646","0.544","1.13","1.09","1.24","","0.963","1.41","1.53","1.31","1.60"
"La","17.2","17.0","14.1","18.3","18.3","19.0","24.9","16.9","23.3","24.2","22.6","26.7"
"Ce","39.7","35.7","32.2","44.0","44.1","45.8","56.2","41.2","56.3","57.9","53.5","62.9"
"Pb","5.57","5.50","5.25","7.94","7.82","8.50","","7.61","9.95","10.7","10.0","13.4"
"Nd","24.6","21.2","20.0","27.0","26.8","27.7","33.4","25.0","33.7","34.5","32.0","35.1"
"Sr","388","","","430","407","397","","418","339","357","","198"
"Sm","5.98","4.96","4.80","6.34","6.28","6.48","7.76","5.87","7.81","8.00","7.43","7.81"
"Hf","4.50","3.63","3.30","5.09","5.31","5.65","6.84","4.82","7.13","7.39","6.23","8.47"
"Eu","1.57","1.46","1.44","1.62","1.60","1.62","1.85","1.66","1.84","","1.96","1.85"
"Gd","5.73","4.75","4.60","5.95","5.99","6.51","7.14","5.55","7.24","","6.82","6.68"
"Dy","5.79","4.72","4.74","6.08","6.05","6.32","7.21","5.61","7.38","","7.20","7.60"
"Er","3.50","2.83","2.89","3.65","3.65","3.81","4.37","3.42","4.45","4.60","4.47","4.89"
"Yb","3.27","2.65","2.69","3.44","3.44","3.61","4.11","3.26","4.21","4.35","4.22","5.00"
"Lu","0.459","0.389","0.389","0.504","0.506","0.532","0.585","0.468","0.606","0.632","","0.742"
