"Spotno","","Age(Ma)","176Lu/177Hf","176Hf/177Hf","eHf(T)","TDM(Ma)","TDMC(Ma)","δ18O(‰)","±2δ","δ18Owr"
"805-25","","","","","","","","","",""
"805-25-01","r","163","0000541","0283017","857","328","422","595","015","74"
"805-25-04","r","174","0000431","0283042","945","293","377","665","011","81"
"805-25-06","r","175","0000501","0283034","92","304","391","687","011","832"
"805-25-08","r","164","0000572","0283021","872","323","414","657","013","802"
"805-25-10","r","196","0000898","0283022","882","324","412","664","01","809"
"805-25-12","r","17","0000549","0283054","987","277","355","652","009","797"
"805-25-13","r","171","0000481","0283057","1001","271","348","668","012","813"
"805-25-14","r","17","0000357","028304","938","295","381","696","015","841"
"805-25-15","r","167","0000351","0283024","881","318","410","593","018","738"
"805-25-16","r","169","0000587","0283037","93","300","385","693","011","838"
"805-25-18","r","173","0000337","0283068","1039","255","329","612","013","757"
"805-25-20","r","167","0000469","0283028","894","313","403","63","015","775"
"805-25-21","r","157","0000455","0283033","911","305","394","644","007","789"
"805-25-23","r","159","0000449","0283036","924","301","387","73","009","875"
"805-25-24","r","168","000051","0282995","78","359","462","638","014","783"
"803-33","","","","","","","","","",""
"803-33-04","r","185","000062","0283003","812","349","447","639","009","799"
"803-33-05","r","173","0000507","0283039","936","297","382","688","008","848"
"803-33-07","r","168","0000452","0282997","786","356","460","622","01","782"
"803-33-08","r","171","0000332","0283016","854","329","424","699","01","859"
"803-33-09","r","173","0000466","0283044","953","290","373","665","013","825"
"803-33-12","r","185","0000411","0283036","927","301","388","705","015","865"
"803-33-14","r","167","0000713","0282981","73","381","488","629","007","789"
"803-33-16","r","16","0000369","0282999","791","353","456","66","014","82"
"803-33-17","r","167","0000364","028301","834","336","434","704","009","864"
"803-33-19","r","164","0000386","0283028","894","312","403","648","013","808"
"803-33-20","r","172","0000451","0283006","821","343","442","654","008","814"
"803-33-21","r","184","0000496","0283002","808","349","449","563","011","723"
"803-33-22","r","168","0000764","0282979","722","384","492","693","015","853"
"803-33-24","r","169","0000446","028296","655","408","527","631","007","791"
"803-33-25","r","156","0000528","028301","831","338","435","687","013","847"
"803-33-26","r","16","0000714","0283001","798","353","453","645","012","805"
"803-33-27","r","16","","","","","","629","01","789"
"803-35","","","","","","","","","",""
"803-35-01","r","179","0000571","0283009","83","341","437","662","015","81"
"803-35-03","r","154","0000649","0282978","717","384","494","646","01","794"
"803-35-04","r","179","0000486","0282977","718","384","495","685","016","833"
"803-35-06","r","176","0000568","0282941","591","435","561","697","015","845"
"803-35-09","r","173","0000512","0282989","761","367","473","616","005","764"
"803-35-11","r","169","0000647","0282947","611","428","550","508","012","656"
"803-35-13","r","18","000058","0282959","653","411","528","626","01","774"
"803-35-15","r","172","0000649","0282957","647","414","532","576","008","724"
"803-35-16","r","162","0000485","0282983","736","376","485","665","012","813"
"803-35-17","r","164","0000504","0282975","709","387","499","597","02","745"
"803-35-18","r","167","000047","0282964","67","402","519","644","023","792"
"803-35-20","r","198","0000629","0282963","673","405","520","564","016","712"
"803-35-21","r","174","000051","0282942","594","433","559","617","012","765"
"803-35-22","r","17","0000299","0283001","801","349","451","683","009","831"
"803-35-23","r","184","0000487","0282944","603","431","555","651","011","799"
"803-35-25","r","178","0000598","0282943","599","433","557","605","014","753"
"803-35-26","r","18","0000451","0282947","612","426","550","546","008","694"
"2009-37","","","","","","","","","",""
"2009-37-01","r","178","0000421","0283008","826","341","439","592","008","739"
"2009-37-03","r","162","0000569","0282957","645","414","532","693","02","84"
"2009-37-04","r","15","0000485","0282978","715","383","495","551","017","698"
"2009-37-05","r","182","0000526","0282965","677","401","517","581","014","728"
"2009-37-06","r","167","0000553","0283013","843","334","430","59","012","737"
"2009-37-07","r","155","0000434","0282983","733","376","485","629","01","776"
"2009-37-08","r","159","0000529","0282981","728","379","488","667","013","814"
"2009-37-10","r","175","0000549","0282997","789","356","458","607","016","754"
"2009-37-11","r","193","","","","","","588","009","735"
"2009-37-12","r","163","0000503","0282949","618","424","547","666","009","813"
"2009-37-13","r","17","0000572","0283017","857","329","423","622","011","769"
"2009-37-16","r","19","0000956","0282828","192","601","767","625","009","772"
"2009-37-17","r","168","0000692","0282986","747","374","479","631","013","778"
"2009-37-18","r","161","0000594","0282918","505","468","604","622","013","769"
"2009-37-19","r","167","0000385","0283016","853","329","425","612","011","759"
"2009-37-21","r","165","000068","0282966","678","402","516","554","015","701"
"2009-37-24","r","158","0000476","0282942","59","433","560","583","015","73"
"2009-37-25","r","177","0000486","0283008","828","341","438","619","011","766"
"2009-37-26","r","177","0000466","028292","517","464","599","604","014","751"
