"Spot no.","","Age(Ma)","176Lu/177Hf","176Hf/177Hf","eHf(T)","TDM (Ma)","TDMC (Ma)","δ18O(‰)","±2δ","δ18Owr"
"QL37H","","","","","","","","","",""
"QL37H-01","r","17.5","0.000416","0.283038","9.33","298","384","6.47","0.29","7.94"
"QL37H-03","r","17.3","0.000434","0.282996","7.85","357","460","6.50","0.36","7.97"
"QL37H-07","r","17.9","0.000509","0.282958","6.51","411","530","6.13","0.56","7.59"
"QL37H-08","r","16.4","0.000381","0.282973","7.00","389","503","6.19","1.06","7.66"
"QL37H-09","r","18.7","0.000528","0.282953","6.36","418","538","5.91","0.91","7.38"
"QL37H-11","r","17.0","0.000522","0.282978","7.19","383","494","6.12","0.18","7.59"
"QL37H-14","r","16.3","0.000695","0.282993","7.70","364","467","6.32","0.43","7.79"
"QL37H-15","r","17.2","0.000622","0.283017","8.59","329","422","6.47","0.40","7.94"
"QL37H-17","r","17.9","0.000412","0.283010","8.34","338","435","5.29","0.57","6.76"
"QL37H-20","r","17.3","0.000467","0.282981","8.70","378","468","6.37","0.35","7.84"
"QL37H-21","r","17.4","0.000496","0.282994","7.78","360","464","6.79","0.58","8.26"
"QL37H-23","r","16.4","0.000529","0.283005","8.14","345","444","5.90","0.53","7.36"
"QL37H-24","r","18.2","0.000635","0.282987","7.56","371","476","7.02","0.50","8.49"
"QL37H-25","r","16.2","0.000546","0.282968","6.82","398","513","7.21","0.25","8.68"
"QL37H-27","r","18.8","0.000615","0.282980","7.29","382","490","6.37","0.52","7.84"
"QL105H","","","","","","","","","",""
"QL105H-01","r","17.6","0.000778","0.282993","7.75","364","466","7.37","0.30","8.75"
"QL105H-03","r","18.1","0.000461","0.282992","7.71","363","468","6.52","0.20","7.91"
"QL105H-05","r","17.9","0.000551","0.282932","5.61","447","577","5.25","0.37","6.64"
"QL105H-06","r","18.9","0.000632","0.282985","7.49","374","480","6.10","0.44","7.49"
"QL105H-07","r","17.3","0.000827","0.282974","7.05","392","501","5.85","0.67","7.24"
"QL105H-08","r","17.4","0.000458","0.282981","7.31","379","488","6.45","0.28","7.84"
"QL105H-11","r","18.1","0.000486","0.282961","6.63","406","524","5.47","0.66","6.86"
"QL105H-12","r","17.8","0.000467","0.282979","7.24","382","492","6.91","0.25","8.30"
"QL105H-13","r","18.1","0.000583","0.282995","7.81","361","463","6.48","0.33","7.86"
"QL105H-14","r","16.1","0.000613","0.282949","6.15","425","547","6.65","0.40","8.03"
"QL105H-16","r","16.7","0.000498","0.282995","7.80","359","462","6.23","0.19","7.61"
"QL105H-17","r","16.3","0.000696","0.282982","7.32","380","487","6.72","0.39","8.11"
"QL105H-18","r","18.2","0.000540","0.282993","7.74","363","467","7.09","0.35","8.47"
"QL105H-20","r","17.7","0.000565","0.282989","7.60","368","473","6.09","0.36","7.47"
"QL105H-23","r","16.2","0.000494","0.282969","6.85","396","511","4.00","2.14","5.38"
"QL105H-25","r","","","","","","","6.43","0.35","7.81"
"QL105H-26","r","19.1","0.000462","0.283009","8.32","340","437","6.56","0.14","7.94"
"QL105H-27","r","18.4","","","","","","6.24","0.39","7.63"
