"Sample","Pb","Th","U","Th/U","207Pb/235U","207Pb/235U","206Pb/238U","206Pb/238U","206Pb/238U","206Pb/238U"
"","ppm","ppm","ppm","","Ratio","1sigma","Ratio","1sigma","Age(Ma)","1sigma"
"200937-19","06","89","169","053","002580","000304","000259","000018","167","12"
"200937-21","09","130","250","052","001778","000401","000256","000016","165","10"
"200937-22","14","183","427","043","001942","000493","000253","000012","163","08"
"200937-23","23","464","601","077","002272","000288","000272","000010","175","06"
"200937-24","13","254","418","061","001786","000260","000246","000012","158","07"
"200937-26","13","233","363","064","001714","000308","000276","000013","177","08"
"200937-32","10","167","285","059","001779","000230","000267","000015","172","10"
"200937-35","21","415","492","084","002305","000267","000316","000013","204","08"
"200937-38","13","233","414","056","001123","000236","000229","000011","148","07"
"QL37H","","","","","","","","","",""
"QL37H-01","10","107","300","036","001735","000230","000274","000010","177","06"
"QL37H-02","10","100","321","031","002021","000249","000252","000009","162","06"
"QL37H-03","10","137","296","046","002297","000331","000254","000010","163","06"
"QL37H-04","09","92","254","036","001534","000228","000277","000012","178","08"
"QL37H-06","56","2436","1228","198","002468","000260","000258","000006","166","04"
"QL37H-08","12","167","341","049","002599","000402","000262","000011","169","07"
"QL37H-10","11","134","323","041","002240","000283","000271","000014","175","09"
"QL37H-11","12","151","338","045","001848","000386","000279","000013","179","09"
"QL37H-13","10","95","264","036","002620","000378","000284","000013","183","08"
"QL37H-14","10","171","303","056","002508","000579","000254","000011","164","07"
"QL37H-15","08","120","227","053","002904","000451","000267","000017","172","11"
"QL37H-17","06","79","152","052","002882","000495","000276","000013","178","09"
"QL37H-19","09","143","242","059","002934","000855","000282","000015","181","09"
"QL37H-21","07","133","206","064","002393","000477","000268","000014","173","09"
"QL37H-23","08","136","244","056","001496","000277","000263","000012","169","08"
"QL37H-24","12","159","327","049","001986","000302","000281","000010","181","06"
"QL37H-25","14","334","387","086","002330","000241","000265","000009","171","06"
"QL37H-26","21","177","599","030","001980","000169","000283","000009","182","05"
"QL37H-30","10","142","266","053","002220","000276","000276","000011","178","07"
"QL37H-31","09","156","243","064","001906","000226","000275","000010","177","06"
"QL37H-32","08","120","247","049","002135","000238","000251","000010","161","07"
"QL37H-33","17","345","477","072","001829","000231","000268","000008","172","05"
"QL37H-36","09","145","260","056","002470","000456","000276","000013","177","09"
"QL37H-37","11","184","313","059","002481","000406","000272","000010","175","06"
"QL105H","","","","","","","","","",""
"QL105H-01","12","187","305","061","003093","000400","000274","000014","176","09"
"QL105H-02","07","118","242","049","001883","000247","000248","000013","160","09"
"QL105H-03","07","94","188","050","002270","000320","000280","000013","181","08"
"QL105H-04","11","130","321","041","001795","000289","000262","000014","169","09"
"QL105H-05","15","237","425","056","002180","000282","000278","000013","179","09"
"QL105H-07","27","514","752","068","001875","000187","000269","000009","173","06"
"QL105H-08","06","86","170","051","002413","000304","000270","000015","174","10"
"QL105H-10","15","121","372","033","001981","000212","000312","000012","201","08"
"QL105H-11","12","146","336","043","002113","000310","000282","000015","181","10"
"QL105H-12","08","104","206","051","002402","000338","000277","000014","178","09"
"QL105H-14","07","87","216","040","002138","000324","000250","000013","161","08"
"QL105H-15","12","232","335","069","002462","000325","000243","000011","157","07"
"QL105H-16","08","117","225","052","001742","000266","000259","000014","167","09"
"QL105H-18","11","167","284","059","001750","000297","000283","000014","182","09"
"QL105H-19","12","198","316","063","002902","000329","000261","000011","168","07"
"QL105H-20","09","134","219","061","003046","000544","000275","000014","177","09"
"QL105H-22","34","411","927","044","001926","000189","000284","000007","183","05"
"QL105H-23","11","168","370","045","001648","000247","000251","000010","162","06"
"QL105H-26","14","209","371","057","002549","000294","000296","000014","191","09"
"QL105H-27","10","175","253","069","002501","000617","000285","000013","184","08"
"QL105H-29","09","120","262","046","003093","000535","000262","000011","169","07"
"QL105H-30","14","236","420","056","001478","000195","000258","000013","166","08"
"QL105H-31","06","98","171","057","002297","000259","000267","000014","172","09"
"QL105H-32","08","117","176","067","003410","000811","000277","000014","179","09"
"QL105H-33","09","147","253","058","002209","000265","000274","000010","176","07"
"QL105H-34","13","198","373","053","002104","000224","000275","000009","177","06"
"QL105H-36","08","122","210","058","003168","000575","000284","000014","183","09"
"ZK4406-1","","","","","","","","","",""
"ZK4406-101","05","77","166","046","008473","001064","000269","000016","173","10"
"ZK4406-102","06","87","171","051","009988","001023","000263","000013","170","09"
"ZK4406-103","12","161","379","042","004824","000483","000273","000012","176","08"
"ZK4406-105","07","114","225","051","008435","000870","000264","000014","170","09"
"ZK4406-106","10","139","307","045","004782","000443","000277","000013","178","08"
"ZK4406-107","07","121","184","066","008307","000638","000292","000016","188","11"
"ZK4406-108","14","255","415","061","005597","000688","000248","000010","160","06"
"ZK4406-109","08","160","208","077","008975","000773","000279","000014","180","09"
"ZK4406-111","12","241","431","056","004327","000409","000235","000009","151","06"
