"Sample","QL","QL","QL","QL","QL","QL","QL","001-","4406","4406","4406","4406","2009","609","803","803","803","803","803","803","803","803","803","803","805","805","805"
"","105Ha","67Ha","69Ha","76Ha","79Ha","85Ha","90Ha","23A-1b","-1c","-2c","-3c","-4c","-37b","-38c","-27b","-28b","-29c","-30c","-31c","-32c","-33c","-34b","-35b","-36c","-24b","-25b","-26b"
"Age","174Ma","","","","","","","","169Ma","167Ma","","170Ma","166Ma","167Ma","","","","","","","169Ma","","170Ma","","","167Ma",""
"Type","Barrenadakite","","","","","","","","","","","","","Ore-bearingadakite","","","","","","","","","","","","",""
"SiO2","635","650","648","669","648","634","6550","6627","6470","6299","6377","6601","6493","6180","6386","7077","6590","6420","6830","6410","6700","6577","6501","6830","6775","6450","6787"
"TiO2","053","050","046","049","048","053","051","044","046","054","051","049","050","048","053","037","038","045","030","041","038","048","049","048","046","05","041"
"Al2O3","166","164","161","1585","163","167","1685","1631","1703","1658","1657","1649","1640","161","1578","1297","1425","1555","121","1475","1395","1503","1646","154","1459","1634","1465"
"Fe2O3","357","333","305","328","328","347","348","211","432","485","397","362","409","21","208","15","175","192","098","169","177","166","159","204","167","226","144"
"MnO","004","004","004","004","005","004","005","002","005","005","005","005","002","002","002","001","002","002","001","001","001","002","002","001","003","004","002"
"MgO","155","152","135","143","150","162","156","135","147","172","161","131","142","141","151","116","118","121","092","118","101","150","160","132","150","129","117"
"CaO","406","387","367","345","375","412","387","374","397","398","429","35","311","398","335","331","329","348","246","334","293","348","363","151","283","379","299"
"Na2O","655","481","633","449","615","640","491","420","472","455","47","444","399","595","347","354","486","429","277","535","327","377","422","415","317","395","355"
"K2O","254","275","277","302","273","258","269","350","142","270","267","317","29","328","455","374","42","403","618","407","507","445","39","491","568","404","497"
"P2O5","004","019","004","018","004","005","005","018","0222","0243","0224","0224","02","025","022","015","019","022","019","019","019","019","020","027","017","019","016"
"SO3","/","/","/","/","/","/","/","/","b001","060","013","b001","/","199","/","/","187","189","153","169","164","/","/","117","/","/","/"
"LOI","118","081","078","074","072","078","057","134","085","163","10","053","193","411","427","198","350","346","296","394","293","317","238","188","160","265","225"
"Total","10020","9920","9940","9990","9980","9970","10000","9946","9939","10005","9957","10000","9948","9965","9964","9950","9968","9907","9731","9921","9867","9953","9949","10043","9944","9954","9947"
"Sc","/","/","/","/","/","/","/","524","56","63","58","55","502","51","51","32","42","43","30","42","36","49","51","43","44","48","36"
"V","93","101","89","91","88","98","100","651","86","84","75","74","803","807","802","560","677","760","523","681","620","799","800","842","643","827","569"
"Cr","10","10","10","10","10","10","10","167","13","26","12","14","108","112","105","112","117","108","76","97","183","100","122","104","101","98","89"
"Co","8","8","7","7","8","9","9","610","12","168","88","74","101","597","725","700","642","833","377","610","416","533","482","635","410","848","514"
"Ni","12","11","10","11","12","13","12","104","114","154","135","111","100","949","906","827","832","900","447","3135","883","946","964","872","879","922","663"
"Cu","3","9","7","44","25","6","93","586","186","36","42","37","712","4174","3524","3343","2992","2747","1323","2676","2825","3658","2322","6660","2793","2925","462"
"Ga","215","216","21","205","21","222","214","184","236","241","225","224","199","195","190","148","175","200","140","175","141","167","195","185","167","184","168"
"Rb","785","632","639","773","712","636","683","912","404","701","627","747","918","994","1453","928","1057","1094","1452","1056","1252","1132","1084","1253","151","1193","1238"
"Sr","1150","1140","1105","1035","1095","1175","1195","915","1065","1110","1055","1015","932","9698","8504","7569","8404","1156","5904","8568","694","8936","9362","8374","7221","8742","8249"
"Y","88","76","62","76","65","78","75","814","72","75","71","63","741","644","601","496","597","573","447","636","546","646","652","550","569","675","514"
"Zr","110","110","99","98","114","103","101","490","14","71","69","71","673","570","815","468","696","614","419","631","426","664","631","970","512","511","425"
"Nb","44","41","34","39","35","4","35","389","38","43","41","43","38","351","363","294","304","352","303","285","355","390","399","373","324","423","308"
"Cs","394","158","127","203","224","161","217","479","211","604","204","364","36","709","659","255","279","295","256","331","290","374","464","429","622","393","373"
"Ba","674","750","768","756","737","759","896","831","450","710","640","720","705","583","707","629","644","903","747","681","648","584","616","863","646","732","727"
"Hf","33","31","28","28","33","3","27","16","01","06","05","06","21","186","219","144","197","183","136","166","136","182","200","264","156","148","134"
"Ta","03","03","02","03","02","03","02","04","024","027","027","03","030","027","027","025","024","025","024","023","028","028","033","027","027","029","024"
"Pb","13","14","15","13","13","15","14","143","11","142","136","133","171","316","265","293","397","295","316","389","366","479","295","339","435","1230","269"
"Th","749","741","578","831","719","786","509","87","37","68","59","67","824","529","492","503","544","814","628","362","709","595","562","814","657","527","674"
"U","244","179","132","181","19","191","145","26","04","21","17","10","197","218","115","173","140","244","132","165","160","165","218","245","165","256","214"
"La","254","234","201","236","208","233","211","268","131","191","19","19","213","2126","1781","1575","159","3243","164","1539","1608","213","2005","1998","2272","2198","1675"
"Ce","548","488","396","48","413","48","443","536","292","421","41","40","452","4283","3786","3191","3277","642","3227","3245","3381","4337","4122","4143","4559","4519","3319"
"Pr","668","564","458","566","483","567","522","65","365","538","507","497","573","537","4964","41","4078","7725","4065","4259","437","5367","535","5437","572","5707","4108"
"Nd","262","228","177","217","19","227","205","247","154","221","206","199","232","2111","1981","1599","1705","307","1608","173","1784","2171","2152","2163","2253","2258","1701"
"Sm","453","379","324","383","346","408","383","38","291","398","362","341","377","3468","3236","2691","2872","4435","2567","2942","2914","3462","346","3557","3526","3704","2733"
"Eu","107","102","084","097","089","10","098","075","079","098","093","088","086","087","074","0613","0708","0937","0583","0717","0636","0807","0859","0811","0884","0891","0627"
"Gd","289","25","205","258","234","263","25","23","208","254","237","219","235","202","198","1602","1829","2321","1472","1786","1787","2023","2025","1953","2019","2208","1643"
"Tb","034","027","023","029","025","028","026","03","025","029","027","026","031","0268","024","0211","0237","0267","0193","024","0229","0266","0271","0253","0258","0272","0209"
"Dy","178","146","119","13","128","144","148","16","133","146","136","127","150","1315","1186","1005","1163","1206","0922","1189","1153","1288","1326","1199","1213","1368","1028"
"Ho","031","027","021","026","022","025","025","03","025","027","025","023","028","0235","022","0187","0213","0208","0173","0219","0207","0238","0251","0212","0216","024","0188"
"Er","091","082","064","074","062","077","075","08","068","069","064","058","071","0595","0563","0473","0561","051","0436","0587","0523","0634","0607","0534","0526","0601","0481"
"Tm","012","012","008","01","01","011","010","012","010","009","009","008","010","0088","0081","0067","0078","0073","0061","0082","0077","0092","0091","0075","0076","0086","0067"
"Yb","085","068","064","071","061","06","068","08","061","061","058","051","066","0556","0523","0446","0511","0446","0384","0551","0513","0576","0574","0529","0483","055","0447"
"Lu","012","011","010","011","009","010","010","013","010","010","009","008","011","0089","0086","0071","0082","0072","0064","0087","008","0089","0093","0081","0080","0090","0070"
"Sr/Y","1307","150","1782","1362","1685","1506","1593","1124","1479","148","1486","1611","1258","1507","1415","1526","1409","2016","1322","1348","1272","1384","1437","1524","127","1296","1606"
"(La/Yb)n","203","234","213","226","232","264","211","223","146","213","223","253","218","26","231","24","211","494","29","19","213","251","237","257","32","271","255"
