"Samples","Pluton","Rock type","Sample locality","Petrographic","Mineral"
"No.","","","(GPS)","texture","assemblagea"
"SK15-20","Langeri","Granodiorite","N50°1′42.2″,","porphyritic texture","Pl (40%), Q"
"","","","E143°5′1.2″","with plagioclase","(25%), Hbl"
"","","","","and hornblende","(15%), Kfs"
"","","","","phenocryst","(10%), Bt"
"","","","","","(5%)"
"SK 15-21","","","","","Pl (40%), Q"
"","","","","","(25%), Hbl"
"","","","","","(15%), Kfs"
"","","","","","(10%), Bt"
"","","","","","(5%)"
"SK 15-22","","","","","Kfs (35%), Q"
"","","","","","(25%), Pl"
"","","","","","(20%), Bt"
"","","","","","(10%)"
"SK 15-","","","","","Kfs (35%), Q"
"23b","","","","","(25%), Pl"
"","","","","","(20%), Bt"
"","","","","","(10%)"
"SK 15-24","","","","","Kfs (35%), Q"
"","","","","","(25%), Pl"
"","","","","","(20%), Bt"
"","","ACCEPTED M ANUSCRIPT","","","(10%)"
"SK 15-25","","","","","Pl (40%), Q"
"","","","","","(25%), Hbl"
"","","","","","(15%), Kfs"
"","","","","","(10%), Bt"
"","","","","","(5%)"
"SK 15-27","","","","","Kfs (35%), Q"
"b","","","","","(25%), Pl"
"","","","","","(20%), Bt"
"","","","","","(10%)"
"SK 15-32","","","","","Pl (40%), Q"
"","","","","","(25%), Hbl"
"","","","","","(15%), Kfs"
"","","","","","(10%), Bt"
"","","","","","(5%)"
"SK 15-33","","","","","Kfs (35%), Q"
"","","","","",""
"","","","","",""
"b","","","E143°01'44.1''","","(25%), Pl 
(20%), Bt"
"","","","","","(10%)"
"SK 15-34","Val’za","Monzogranite","N50°13'51.6'',","Coarse-grained","Kfs (35%), Q"
"","","","E143°01'42.1''","granitic texture","(25%), Pl"
"","","","","","(20%), Bt"
"","","","","","(10%)"
"SK 15-35","Val’za","Granodiorite","N50°15'03.9''","Coarse-grained","Pl (40%), Q"
"","","","E142°59'04.2''","granitic texture","(25%), Hbl"
"","","","","","(15%), Kfs"
"","","","","","(10%), Bt"
