"","","","","","(5%)"
"SK15-36","Val’za","Granodiorite","N50°15'084'',","porphyritictexture","Pl(40%),Q"
"b","","","E142°59'056''","withplagioclase","(25%),Hbl"
"","","","","andhornblende","(15%),Kfs"
"","","","","phenocryst","(10%),Bt"
"","","","","","(5%)"
"SK15-37","Val’za","Granodiorite","N50°15'083''","porphyritictexture","Pl(40%),Q"
"","","","E142°59'057''","withplagioclase","(25%),Hbl"
"","","","","andhornblende","(15%),Kfs"
"","","","","phenocryst","(10%),Bt"
"","","","","","(5%)"
"SK15-38","Val’za","Granodiorite","N50°15'041''","porphyritictexture","Pl(40%),Q"
"","","","E142°58'277''","withplagioclase","(25%),Hbl"
"","","","","andhornblende","(15%),Kfs"
"","","","","phenocryst","(10%),Bt"
"","","","","","(5%)"
"SK15-39","Val’za","Tonalite","N50°15'019''","Coarse-grained","Pl(50%),Q"
"","","","E142°58'089''","granitictexture","(25%),Hbl"
"","","","","","(15%),Bt"
"","","","","","(5%)"
"SK15-40","Val’za","Monzogranite","N50°12'528''","Coarse-grained","Kfs(35%),Q"
"","","","E142°58'2989''","granitictexture","(25%),Pl"
"","","","","","(20%),Bt"
"","","","","","(10%)"
