"Table 3 Whole-rock chemical compositions of granitic rock samples of the Langeri and","","","","","","","","","","","","","","","",""
"Val’za plutons","","","","","","","","","","","","","","","",""
"Pluton","","","","Langeri","","","","","","","","Val'za","","","",""
"","SK1","SK1","","","","SK1","","SK1","","","SK1","SK1","SK1","SK1","SK",""
"Sample","5-","5-","SK1","SK1","SK1","5-","SK1","5-","SK1","SK1","5-","5-","5-","5-","15-","SK1"
"name","20","21","5-22","5-23","5-24","25","5-27","32","5-33","5-34","35","36","37","38","39","5-40"
"","gran","gran","mon","mon","mon","gran","mon","gran","mon","mon","gran","gran","gran","gran","ton","mon"
"Rock","odio","odio","zogr","zogr","zogr","odio","zogr","odio","zogr","zogr","odio","odio","odio","odio","alit","zogr"
"type","rite","","","","","","","","","","","","rite","rite","e","anite"
"","68.0","","","","","","","","","","","","","69.5","63.","71.3"
"SiO2","4","","","","","","","","","","","","","3","79","4"
"","","","","","","","","","","","","","","","0.4",""
"TiO2","0.41","","","","","","","","","","","","0.41","0.37","6","0.28"
"","15.8","","","","","","","","","","","","","15.5","16.","15.1"
"Al2O3","4","","","","","","","","","","","","","4","55","5"
"","","","","","","","","","","","","","","","3.7",""
"Fe2O3","2.86","","","","","","","","","","","","2.95","2.58","6","2.00"
"","","","","","","","","","","","","","","","4.7",""
"CaO","1.79","","","","","","","","","","","","2.58","2.78","3","2.11"
"","","","","","","","","","","","","","","","3.4",""
"MgO","1.61","","","","","","","","","","","","1.67","1.20","6","0.82"
"","","","","","","","","","","","","","","","0.0",""
"MnO","0.05","","","","","","","","","","","","0.06","0.06","7","0.05"
"","","","","","","","","","","","","","","","3.5",""
"Na2O","4.14","","","","","","","","","","","","4.06","3.96","4","3.87"
"","","","","","","","","","","","","","","","1.2",""
"K2O","2.40","","","","","","","","","","","","2.50","2.54","6","3.09"
"","","","","","","","","","","","","","","","0.1",""
"P2O5","0.11","","","","","","","","","","","","0.10","0.11","1","0.09"
"","","","","","","","","","","","","","","","2.1",""
"LOI","3.02","","","","","","","","","","","","1.60","1.48","5","0.79"
"","","","ACCEPTED M ANUSCRIPT","","","","","","","","","","","","2.2",""
"A/NK","1.67","","","","","","","","","","","","1.67","1.66","9","1.55"
"A/CN","","","","","","","","","","","","","","","1.0",""
"K","1.25","","","","","","","","","","","","1.11","1.08","4","1.11"
"TOTA","100.","","","","","","","","","","","","","100.","99.","99.5"
"L","27","","","","","","","","","","","","","16","89","9"
"Sc","13","","","","","","","","","","","","","15","13","21"
"V","48","","","","","","","","","","","","","30","65","28"
"","","","","","","","","","","","","","","","10",""
"Cr","60","","","","","","","","","","","","","40","","61"
"","","","","","","","","","","","","","","","5",""
"Co","5.7","","","","","","","","","","","","","5.4","13","4.1"
"Ni","51","","","","","","","","","","","","","35","52","24"
"Ga","18","","","","","","","","","","","","17","15","17","34"
"Rb","103","","","","","","","","","","","","83","97","34","123"
"","","","","","","","","","","","","","","","41",""
"Sr","297","","","","","","","","","","","","290","291","","214"
"","","","","","","","","","","","","","","","1",""
"","","","","","","","","","","","","","","","16.",""
"Y","15.6","","","","","","","","","","","","19.8","18.4","","17.4"
"","","","","","","","","","","","","","","","4",""
"","","","","","","","","","","","","","","","12",""
"Zr","132","","","","","","","","","","","","139","135","","118"
"","","","","","","","","","","","","","","","",""
"Nb","6.0","7.8","7.0","11.3","6.9","10.1","6.5","5.4","6.6","6.3","9.8","9.7","7.2","7.7","2  
5.4","7.3"
"Cs","7.3","6.3","7.6","10.6","8.5","10.9","8.8","10.4","8.0","8.1","6.8","7.3","2.5","6.5","3.2","9.6"
"","","","","","","","","","","","","","","","42",""
"Ba","474","554","313","619","448","435","419","626","451","612","758","661","518","623","","620"
"","","","","","","","","","","","","","","","9",""
"","","","","","","","","","","","","","","","14.",""
"La","14.8","19.9","22.8","22.2","23.4","23.0","20.7","13.8","15.1","21.8","21.9","20.5","19.2","16.2","","19.1"
"","","","","","","","","","","","","","","","4",""
"","","","","","","","","","","","","","","","30.",""
"Ce","34.6","41.2","51.2","47.9","48.9","50.9","43.7","28.3","30.6","44.4","43.9","41.7","40.3","33.9","","39.1"
"","","","","","","","","","","","","","","","9",""
"Pr","3.8","4.8","6.0","5.5","5.7","6.0","4.9","3.4","3.4","4.9","5.3","5.0","4.7","4.0","3.7","4.5"
"","","","","","","","","","","","","","","","14.",""
"Nd","15.1","18.3","22.3","21.0","21.0","23.6","17.8","13.1","12.4","17.9","20.3","19.2","18.1","15.2","","16.7"
"","","","","","","","","","","","","","","","6",""
"Sm","3.3","3.8","5.1","4.3","4.4","5.1","3.6","2.8","2.7","3.5","4.3","4.1","3.8","3.3","3.1","3.5"
